Price,Close,High,Low,Open,Volume
Ticker,VYM,VYM,VYM,VYM,VYM
Date,,,,,
2/1/24,108.50279235839844,108.81177927299846,107.38271018870513,107.40202601470902,1739500
3/1/24,107.84618377685547,108.4641575460772,107.73031093256573,108.39656689528196,1607200
4/1/24,107.7496337890625,108.55107116046985,107.70135895594518,108.00068796849251,1329800
5/1/24,108.0199966430664,108.50278914324969,107.5178883174516,107.77860039297477,1195300
8/1/24,108.62831115722656,108.62831115722656,107.44063838050286,107.89446450358567,1233600
9/1/24,107.93309783935547,108.10690344645707,107.68204365869107,108.09724553305436,1070700
10/1/24,107.94274139404297,108.07792269638112,107.47925738114894,107.92342556980697,1307100
11/1/24,107.51789855957031,107.93310044395308,106.85164985529441,107.86550978216191,1755100
12/1/24,107.65306091308594,108.34828323576066,107.3344234875503,108.0875785481718,809000
16/1/24,106.83232116699219,107.3730463962262,106.55230063990207,107.26683145950827,1375300
17/1/24,106.19503784179688,106.7743873482478,105.78948655713543,106.11778927644912,1010500
18/1/24,106.58126831054688,106.67783270279831,105.70258980232367,106.28193932168814,1298000
19/1/24,107.77859497070312,107.92342682000859,106.42677456483337,106.93853341058876,1537000
22/1/24,107.94274139404297,108.29035256200636,107.66272087724865,107.77859372217927,1148100
23/1/24,108.28070068359375,108.3676071638415,107.93308949626046,108.05862026030402,1304500
24/1/24,107.99102783203125,108.71521661534743,107.96206145939128,108.6572838700675,1301300
25/1/24,109.1786880493164,109.20765441860581,108.47380780701765,108.86970116551535,1158100
26/1/24,109.1014404296875,109.32352820753995,108.78280299792141,109.07247406014771,1186300
29/1/24,109.42008972167969,109.47802246313829,108.69590098613199,109.09179436430921,1078300
30/1/24,109.82563781738281,109.9028863868145,109.07248268249647,109.17869762375778,1179600
31/1/24,108.5993423461914,109.92218903534632,108.58968443381569,109.8063235541524,1298400
1/2/24,109.41043090820312,109.41043090820312,108.07792629782645,108.64761789568827,1527400
2/2/24,109.23662567138672,109.73873398427824,108.58968550557333,109.0724779935228,1245600
5/2/24,108.39657592773438,108.8407441509473,108.05862264559727,108.74418712274084,1236600
6/2/24,108.84073638916016,108.89866912858685,108.44484302486838,108.5703737827309,1382300
