Name,Ticker,Weight,Sector,Shares Held
CME GROUP INC,CME,0.199527,Others,4549930
DUKE ENERGY CORP,DUK,0.194612,Utilities,9754969
KLA CORP,KLAC,0.194246,Others,1688873
THE CIGNA GROUP,CI,0.184851,Others,3510676
NIKE INC  CL B,NKE,0.18444,Consumer Discretionary,15044879
MONDELEZ INTERNATIONAL INC A,MDLZ,0.184282,Consumer Staples,16879347
WELLTOWER INC,WELL,0.184054,Real Estate,7475312
AON PLC CLASS A,AON,0.181799,Others,2732656
UNITED PARCEL SERVICE CL B,UPS,0.179729,Others,9241940
ARISTA NETWORKS INC,ANET,0.176393,Others,13041927
CVS HEALTH CORP,CVS,0.176342,Others,15891706
GE VERNOVA INC,GEV,0.176333,Others,3479971
MCKESSON CORP,MCK,0.174091,Others,1602541
WASTE MANAGEMENT INC,WM,0.173174,Others,4614312
ARTHUR J GALLAGHER + CO,AJG,0.17181,Others,3153249
EQUINIX INC,EQIX,0.171453,Others,1218186
3M CO,MMM,0.169668,Industrials,6881128
SHERWIN WILLIAMS CO/THE,SHW,0.169034,Materials,2927728
CROWDSTRIKE HOLDINGS INC   A,CRWD,0.164884,Others,2938043
TRANE TECHNOLOGIES PLC,TT,0.16262,Others,2843231
PARKER HANNIFIN CORP,PH,0.162266,Others,1625073
TRANSDIGM GROUP INC,TDG,0.159505,Others,710493
O REILLY AUTOMOTIVE INC,ORLY,0.158779,Others,729599
AMPHENOL CORP CL A,APH,0.158258,Others,15217884
COLGATE PALMOLIVE CO,CL,0.157703,Others,10322961
KKR + CO INC,KKR,0.156356,Others,8523823
ZOETIS INC,ZTS,0.153998,Others,5700886
REGENERON PHARMACEUTICALS,REGN,0.152807,Others,1330315
MOTOROLA SOLUTIONS INC,MSI,0.147188,Others,2111549
MOODY S CORP,MCO,0.145353,Others,1967238
EOG RESOURCES INC,EOG,0.145253,Energy,7107649
WILLIAMS COS INC,WMB,0.144696,Others,15398085
GENERAL DYNAMICS CORP,GD,0.143594,Others,3257923
ILLINOIS TOOL WORKS,ITW,0.143484,Others,3395721
NORTHROP GRUMMAN CORP,NOC,0.143299,Consumer Staples,1730754
PAYPAL HOLDINGS INC,PYPL,0.143055,Information Technology,12668418
PNC FINANCIAL SERVICES GROUP,PNC,0.142862,Others,5013616
CHIPOTLE MEXICAN GRILL INC,CMG,0.141604,Others,17218250
CADENCE DESIGN SYS INC,CDNS,0.141278,Others,3465440
SYNOPSYS INC,SNPS,0.14038,Others,1940812
CONSTELLATION ENERGY,CEG,0.139927,Others,3950591
CINTAS CORP,CTAS,0.139212,Others,4328208
AIR PRODUCTS + CHEMICALS INC,APD,0.138817,Materials,2808719
BECTON DICKINSON AND CO,BDX,0.13727,Others,3650820
US BANCORP,USB,0.135985,Others,19690858
CAPITAL ONE FINANCIAL CORP,COF,0.135037,Others,4816616
ECOLAB INC,ECL,0.134954,Others,3184439
EMERSON ELECTRIC CO,EMR,0.132786,Others,7205106
ROPER TECHNOLOGIES INC,ROP,0.128715,Others,1354950
AUTOZONE INC,AZO,0.127698,Others,213401
FORTINET INC,FTNT,0.126741,Others,8038704
APOLLO GLOBAL MANAGEMENT INC,APO,0.124159,Others,5648637
TRAVELERS COS INC/THE,TRV,0.123907,Others,2868589
ONEOK INC,OKE,0.123741,Others,7841704
BANK OF NEW YORK MELLON CORP,BK,0.123517,Others,9187460
HCA HEALTHCARE INC,HCA,0.122423,Others,2304377
SCHLUMBERGER LTD,SLB,0.120255,Energy,17844945
CSX CORP,CSX,0.1198,Others,24368294
AMERICAN ELECTRIC POWER,AEP,0.118389,Utilities,6729579
MARRIOTT INTERNATIONAL  CL A,MAR,0.116736,Others,2914986
FEDEX CORP,FDX,0.115513,Industrials,2840264
HILTON WORLDWIDE HOLDINGS IN,HLT,0.115291,Others,3080232
FREEPORT MCMORAN INC,FCX,0.115096,Materials,18147369
CARRIER GLOBAL CORP,CARR,0.11433,Others,10543780
ALLSTATE CORP,ALL,0.114083,Others,3346404
AUTODESK INC,ADSK,0.113207,Others,2716499
AFLAC INC,AFL,0.112065,Others,6317981
TRUIST FINANCIAL CORP,TFC,0.11177,Others,16774850
NEWMONT CORP,NEM,0.110834,Materials,14386123
GENERAL MOTORS CO,GM,0.110473,Others,13894781
JOHNSON CONTROLS INTERNATION,JCI,0.110354,Health Care,8441543
AIRBNB INC CLASS A,ABNB,0.110202,Others,5469763
PACCAR INC,PCAR,0.10996,Others,6620023
NORFOLK SOUTHERN CORP,NSC,0.109856,Utilities,2858835
ROYAL CARIBBEAN CRUISES LTD,RCL,0.109661,Others,3125404
KINDER MORGAN INC,KMI,0.109397,Others,24423907
NXP SEMICONDUCTORS NV,NXPI,0.108944,Others,3211254
AMERICAN INTERNATIONAL GROUP,AIG,0.108487,Others,7882464
PHILLIPS 66,PSX,0.107896,Energy,5218902
WORKDAY INC CLASS A,WDAY,0.10775,Others,2691375
HOWMET AEROSPACE INC,HWM,0.106372,Others,5133850
SIMON PROPERTY GROUP INC,SPG,0.10416,Real Estate,3869943
REALTY INCOME CORP,O,0.104102,Real Estate,11042551
TARGET CORP,TGT,0.102668,Others,5821418
KIMBERLY CLARK CORP,KMB,0.099666,Others,4213996
REPUBLIC SERVICES INC,RSG,0.099541,Others,2572447
