Name,Ticker,Weight,Sector,Shares Held
NEWS CORP   CLASS A,NWSA,0.021263,Others,4792277
PAYCOM SOFTWARE INC,PAYC,0.020931,Others,611478
INTERPUBLIC GROUP OF COS INC,IPG,0.020726,Others,4707182
UNIVERSAL HEALTH SERVICES B,UHS,0.020546,Others,742352
BIO TECHNE CORP,TECH,0.020174,Others,1996272
BXP INC,BXP,0.019873,Others,1840763
AES CORP,AES,0.018661,Others,9004276
RALPH LAUREN CORP,RL,0.018576,Others,507988
HENRY SCHEIN INC,HSIC,0.018559,Others,1575242
HORMEL FOODS CORP,HRL,0.018318,Others,3680592
CHARLES RIVER LABORATORIES,CRL,0.018204,Others,646160
ALBEMARLE CORP,ALB,0.018084,Others,1488317
DAYFORCE INC,DAY,0.017552,Others,1993059
NORWEGIAN CRUISE LINE HOLDIN,NCLH,0.017414,Others,5568591
WALGREENS BOOTS ALLIANCE INC,WBA,0.017246,Others,9075526
MARKETAXESS HOLDINGS INC,MKTX,0.017095,Others,477766
MOSAIC CO/THE,MOS,0.016876,Others,3990316
ENPHASE ENERGY INC,ENPH,0.016711,Others,1706879
SMITH (A.O.) CORP,AOS,0.016625,Others,1505068
HASBRO INC,HAS,0.016608,Others,1659531
WYNN RESORTS LTD,WYNN,0.016415,Others,1168645
HUNTINGTON INGALLS INDUSTRIE,HII,0.016383,Others,496520
GENERAC HOLDINGS INC,GNRC,0.016209,Others,751850
THE CAMPBELL S COMPANY,CPB,0.016114,Others,2481970
MATCH GROUP INC,MTCH,0.016109,Others,3173241
FEDERAL REALTY INVS TRUST,FRT,0.015346,Others,960189
APA CORP,APA,0.015054,Others,4684824
PARAMOUNT GLOBAL CLASS B,PARA,0.014797,Others,7532425
LAMB WESTON HOLDINGS INC,LW,0.014796,Others,1802105
MGM RESORTS INTERNATIONAL,MGM,0.014554,Others,2859350
INVESCO LTD,IVZ,0.014379,Others,5698881
DAVITA INC,DVA,0.013584,Others,570344
BROWN FORMAN CORP CLASS B,BF.B,0.013497,Others,2301331
TELEFLEX INC,TFX,0.013492,Others,586609
FOX CORP   CLASS B,FOX,0.013292,Others,1671455
BORGWARNER INC,BWA,0.012958,Others,2763951
FRANKLIN RESOURCES INC,BEN,0.012481,Others,3908807
MOHAWK INDUSTRIES INC,MHK,0.012426,Others,663788
CELANESE CORP,CE,0.012395,Others,1383364
CAESARS ENTERTAINMENT INC,CZR,0.012068,Others,2685071
FMC CORP,FMC,0.010776,Others,1581247
NEWS CORP   CLASS B,NWS,0.007222,Others,1421638
SANDISK CORP,SNDK,0,Others,0.665
