Date,UPRO,QQQ,IWF,ARKK
22/3/24,70.01000213623047,446.3800048828125,339.0100098,49.40999984741211
25/3/24,69.41999816894531,444.7600098,337.70001220703125,50.25
26/3/24,68.83999633789062,443.32000732421875,336.5299987792969,50.029998779296875
27/3/24,70.58999633789062,444.8299865722656,337.9200134277344,50.11000061035156
28/3/24,70.55000305175781,444.0100098,337.04998779296875,50.08000183105469
1/4/24,70.19000244140625,444.95001220703125,336.8500061035156,49.24000168
2/4/24,68.76999664,441.1099853515625,333.9100036621094,47.779998779296875
3/4/24,68.97000122070312,442.1000061035156,334.82000732421875,47.91999816894531
4/4/24,66.33999633789062,435.3399963378906,330.1199951171875,47.27000045776367
5/4/24,68.40000153,440.4700012207031,334.69000244140625,47.119998931884766
8/4/24,68.45999908447266,440.6000061035156,334.7300109863281,48.099998474121094
9/4/24,68.69999694824219,442.2300109863281,335.0799865722656,48.619998931884766
10/4/24,66.68000030517578,438.3699951171875,332.6400146484375,47.49000168
11/4/24,68.09999847,445.3699951171875,337.3800048828125,48.20000076293945
12/4/24,65.19999694824219,438.2699890136719,332.6199951171875,46.50999832
15/4/24,62.77000045776367,431.05999755859375,327.0100098,44.380001068115234
16/4/24,62.369998931884766,431.1000061035156,327.0199890136719,43.650001525878906
17/4/24,61.25999832,425.8399963378906,324.2399902,43.02000045776367
18/4/24,60.779998779296875,423.4100036621094,322.4800109863281,42.90999984741211
19/4/24,59.15999984741211,414.6499938964844,316.1499938964844,42
22/4/24,60.75,418.82000732421875,319.29998779296875,42.599998474121094
23/4/24,62.93000030517578,425.07000732421875,324.0299987792969,43.869998931884766
24/4/24,62.880001068115234,426.5100098,324.0899963378906,43.900001525878906
25/4/24,62.029998779296875,424.45001220703125,322.04998779296875,43.61000061035156
26/4/24,63.81999969482422,431,327.9899902,44.06999969482422
29/4/24,64.44000244140625,432.75,328.42999267578125,45.130001068115234
30/4/24,61.400001525878906,424.5899963378906,322.8399963378906,43.459999084472656
1/5/24,60.70000076293945,421.5199890136719,321.6700134277344,43.81999969482422
2/5/24,62.369998931884766,426.8999938964844,325.6400146484375,44.93000030517578
3/5/24,64.69000244140625,435.4800109863281,331.5,45.470001220703125
6/5/24,66.69000244140625,440.25,335.8399963378906,46.5
7/5/24,66.88999938964844,440.32000732421875,335.6700134277344,45.54999923706055
8/5/24,66.86000061035156,440.05999755859375,335.19000244140625,44.43000030517578
9/5/24,67.94000244140625,441.0199890136719,336.2200012207031,44.15999984741211
10/5/24,68.23000336,442.05999755859375,336.6700134277344,42.91999816894531
13/5/24,68.19000244140625,443.0799865722656,336.8599853515625,44.16999816894531
14/5/24,69.11000061035156,445.92999267578125,338.57000732421875,45.119998931884766
15/5/24,71.63999938964844,452.8999938964844,344.0299987792969,45.77000045776367
16/5/24,71.16000366210938,451.9800109863281,342.95001220703125,44.959999084472656
17/5/24,71.44000244140625,451.7600098,342.8699951171875,45.45000076293945
20/5/24,71.65000153,454.9100036621094,344.7300109863281,45.599998474121094
21/5/24,72.13999938964844,455.79998779296875,345.4800109863281,45.20000076293945
22/5/24,71.48000336,455.7099914550781,344.20001220703125,44.99000168
23/5/24,69.81999969482422,453.6600036621094,343.25,43.61000061035156
24/5/24,71.20999908447266,457.95001220703125,346.0299987792969,44.380001068115234
28/5/24,71.33999633789062,459.67999267578125,347.55999755859375,44.029998779296875
29/5/24,69.80000305175781,456.44000244140625,345.9599914550781,43.47999954223633
30/5/24,68.37000274658203,451.54998779296875,341.3999938964844,42.790000915527344
31/5/24,70.16999816894531,450.7099914550781,342.2900085449219,42.45000076293945
3/6/24,70.33999633789062,453.1300048828125,344.0899963378906,42.97999954223633
4/6/24,70.51999664,454.3699951171875,345.17999267578125,43.22999954223633
5/6/24,73.01999664,463.5299987792969,351.25,44.150001525878906
6/6/24,72.98999786376953,463.3699951171875,351.7300109863281,44.75999832
7/6/24,72.63999938964844,462.9599914550781,351.2699890136719,43.79999923706055
10/6/24,73.30000305175781,464.8299865722656,352.6300048828125,44.150001525878906
11/6/24,73.80000305175781,468.0199890136719,355.44000244140625,44.15999984741211
12/6/24,75.59999847,474.1499938964844,360.1000061035156,45.08000183105469
13/6/24,76.06999969482422,476.7200012207031,361.8599853515625,44.380001068115234
14/6/24,76.08000183105469,479.19000244140625,363.1000061035156,43.869998931884766
17/6/24,77.87000274658203,485.05999755859375,366.6700134277344,44.130001068115234
18/6/24,78.44000244140625,485.2099914550781,367.3299865722656,43.68000030517578
20/6/24,77.75,481.4700012207031,364.8299865722656,43.369998931884766
21/6/24,77.19999694824219,480.17999267578125,364.0199890136719,43.31999969482422
24/6/24,76.58999633789062,473.9599914550781,360.4599914550781,43.24000168
25/6/24,77.44000244140625,479.3800048828125,364.5,43.33000183105469
26/6/24,77.52999877929688,480.3699951171875,366.42999267578125,43.58000183105469
27/6/24,77.81999969482422,481.6099853515625,367.2300109863281,44.00999832
28/6/24,76.83999633789062,479.1099853515625,364.5100098,43.95000076293945
1/7/24,77.27999877929688,481.9200134277344,367.92999267578125,44.45000076293945
2/7/24,78.79000091552734,486.9800109863281,370.9700012207031,44.81999969482422
3/7/24,79.77999877929688,491.0400085449219,374.17999267578125,45.61000061035156
5/7/24,81.12000274658203,496.1600036621094,378,45.95000076293945
8/7/24,81.37000274658203,497.3399963378906,378.44000244140625,45.88999938964844
9/7/24,81.56999969482422,497.7699890136719,378.95001220703125,46.04999923706055
10/7/24,83.91999816894531,502.9599914550781,382.7600098,45.95000076293945
11/7/24,81.76000213623047,491.92999267578125,374.6499938964844,45.709999084472656
