Date,SPY,GBTC,BRK-B,VUG
2020-01-02,300.2915344238281,7.980000019073486,228.38999938964844,178.76876831054688
2020-01-03,298.0177001953125,8.590000153,226.17999267578125,177.54014587402344
2020-01-06,299.1546325683594,8.989999771118164,226.99000549316406,178.68170166015625
2020-01-07,298.3135070800781,10.100000381469727,225.9199981689453,178.62362670898438
2020-01-08,299.90338134765625,9.321999549865723,225.99000549316406,180.02638244628906
2020-01-09,301.9369201660156,9.300000190734863,228.64999389648438,181.63230895996094
2020-01-10,301.06805419921875,9.600000381469727,226.6199951171875,181.2453613
2020-01-13,303.1385803222656,9.43999958,228.4499969482422,183.18020629882812
2020-01-14,302.6763916015625,10.029999732971191,227.1699981689453,182.36752319335938
2020-01-15,303.36041259765625,9.989999771118164,228.35000610351562,182.89962768554688
2020-01-16,305.88385009765625,9.715000153,229.72999572753906,184.7473602294922
2020-01-17,306.8359375,10.069999694824219,230.1999969482422,185.65682983398438
2020-01-21,306.2351074,9.739999771118164,228.6300048828125,185.7438507080078
2020-01-22,306.2720947265625,9.529999732971191,229.5399932861328,185.8502197265625
2020-01-23,306.62335205078125,8.989999771118164,229.3800048828125,186.33395385742188
2020-01-24,303.8964844,9.479999542236328,226.86000061035156,184.72805786132812
2020-01-27,299.02520751953125,9.819999694824219,222.4499969482422,181.40980529785156
2020-01-28,302.1588439941406,10.119999885559082,224.02999877929688,183.9927978515625
2020-01-29,301.9091491699219,10.899999618530273,224.5,184.3894500732422
2020-01-30,302.8889465332031,11.329999923706055,227.8800048828125,184.85374450683594
2020-01-31,297.3891602,10.899999618530273,224.42999267578125,181.74835205078125
2020-02-03,299.59832763671875,10.585000038146973,223.47000122070312,184.1378631591797
2020-02-04,304.1645812988281,10.539999961853027,225.0800018310547,187.77540588378906
2020-02-05,307.677002,11.515000343322754,228.64999389648438,188.14300537109375
2020-02-06,308.71234130859375,11.699999809265137,229.61000061035156,189.43936157226562
2020-02-07,307.0671081542969,11.789999961853027,227.3800048828125,188.5977020263672
