date,nominal_value,real_value,cpi_value,inflation_rate
2000-01-01,10000.0,10000.0,169.3,0.0
2000-02-01,10012.5,9971.272058823532,170.0,0.41346721795627595
2000-03-01,10025.015625,9925.351726973686,171.0,1.0041346721795463
2000-04-01,10037.546894531248,9943.573371820597,170.9,0.945067926757237
2000-05-01,10050.093828149413,9938.556571879064,171.2,1.1222681630242093
2000-06-01,10062.656445434599,9893.192428641567,172.2,1.7129356172474797
2000-07-01,10075.234765991392,9876.880404645877,172.7,2.008269344359115
2000-08-01,10087.828809448882,9889.226505151684,172.7,2.008269344359115
2000-09-01,10100.438595460691,9850.25492057313,173.6,2.5398700531600538
2000-10-01,10113.064143705018,9845.55353380828,173.9,2.717070289427048
2000-11-01,10125.70547388465,9840.883678120961,174.2,2.8942705256940204
2000-12-01,10138.362605727005,9830.611621704365,174.6,3.130537507383324
2001-01-01,10151.035558984162,9786.846925603753,175.6,3.7212049616065945
2001-02-01,10163.724353432892,9776.809846796526,176.0,3.9574719432959204
2001-03-01,10176.429008874684,9783.472068157205,176.1,4.016538688718252
2001-04-01,10189.149545135777,9779.042052105937,176.4,4.193738924985224
2001-05-01,10201.885982067195,9741.563997540756,177.3,4.725339633786185
2001-06-01,10214.63833954478,9731.7854298533,177.7,4.961606615475467
2001-07-01,10227.40663746921,9760.428093142827,177.4,4.7844063792084945
2001-08-01,10240.190895766045,9772.628628259254,177.4,4.7844063792084945
2001-09-01,10252.991134385753,9746.38629450594,178.1,5.197873597164793
2001-10-01,10265.807373303736,9786.04272691623,177.6,4.9025398700531575
2001-11-01,10278.639632520366,9803.795435412383,177.5,4.843473124630826
2001-12-01,10291.487932061016,9821.583466166461,177.4,4.7844063792084945
2002-01-01,10304.35229197609,9817.258542664898,177.7,4.961606615475467
2002-02-01,10317.232732341061,9812.963492052482,178.0,5.138806851742461
2002-03-01,10330.129273256487,9797.708044606854,178.5,5.434140578854096
2002-04-01,10343.04193484806,9766.18516212926,179.3,5.906674542232726
2002-05-01,10355.970737266618,9767.497748296593,179.5,6.024808033077367
2002-06-01,10368.915700688201,9774.261849256753,179.6,6.083874778499698
2002-07-01,10381.87684531406,9764.731943953726,180.0,6.320141760189002
2002-08-01,10394.854191370703,9749.854928526649,180.5,6.615475487300637
2002-09-01,10407.847759109916,9745.844168237327,180.8,6.792675723567632
2002-10-01,10420.857568808804,9736.485576155246,181.2,7.028942705256935
2002-11-01,10433.883640769815,9732.542701831018,181.5,7.2061429415239076
2002-12-01,10446.925995320775,9728.628003343274,181.8,7.383343177790902
2003-01-01,10459.984652814926,9698.112824324027,182.6,7.855877141169509
2003-02-01,10473.059633630946,9657.347472623744,183.6,8.44654459539278
2003-03-01,10486.150958172984,9653.645226855282,183.9,8.623744831659774
2003-04-01,10499.2586468707,9702.644590148524,183.2,8.210277613703475
2003-05-01,10512.382720179288,9730.70746050494,182.9,8.033077377436504
2003-06-01,10525.52319857951,9732.228713924147,183.1,8.151210868281144
2003-07-01,10538.680102577735,9712.566909996793,183.7,8.505611340815111
2003-08-01,10551.853452705956,9682.54086473235,184.5,8.978145304193742
2003-09-01,10565.043269521839,9663.218938574,185.1,9.332545776727684
2003-10-01,10578.249573608742,9685.76340082185,184.9,9.214412285883045
2003-11-01,10591.472385575753,9692.628512853918,185.0,9.273479031305376
2003-12-01,10604.71172605772,9678.585958067773,185.5,9.56881275841701
2004-01-01,10617.967615715294,9649.07094654106,186.3,10.04134672179562
2004-02-01,10631.240075234939,9640.433555100564,186.7,10.277613703484922
2004-03-01,10644.529125328982,9631.84810752644,187.1,10.513880685174225
2004-04-01,10657.83478673564,9628.449463150182,187.4,10.69108092144122
2004-05-01,10671.15708021906,9599.50527992076,188.2,11.163614884819829
2004-06-01,10684.496026569335,9575.88765112858,188.9,11.577082102776126
2004-07-01,10697.851646602545,9577.716995080968,189.1,11.695215593620789
2004-08-01,10711.223961160798,9584.620595267037,189.2,11.754282339043097
2004-09-01,10724.61299111225,9566.264380375678,189.8,12.108682811577086
2004-10-01,10738.01875735114,9528.021884798469,190.8,12.699350265800359
2004-11-01,10751.44128079783,9495.14349942135,191.7,13.230950974601274
2004-12-01,10764.880582398826,9507.012428795626,191.7,13.230950974601274
2005-01-01,10778.336683126823,9523.864302992542,191.6,13.171884229178964
2005-02-01,10791.809603980731,9496.119365664958,192.4,13.644418192557595
2005-03-01,10805.299365985707,9473.522437397101,193.1,14.05788541051387
2005-04-01,10818.80599019319,9455.982726585995,193.7,14.412285883047836
2005-05-01,10832.32949768093,9472.693098953418,193.6,14.353219137625505
2005-06-01,10845.869909553032,9479.63745837547,193.7,14.412285883047836
2005-07-01,10859.427246939973,9433.047885617945,194.9,15.121086828115772
2005-08-01,10873.001530998647,9387.043137165074,196.1,15.829887773183682
2005-09-01,10886.592782912394,9271.127556071773,198.8,17.42468989958652
2005-10-01,10900.201023891033,9268.729449245366,199.1,17.601890135853495
2005-11-01,10913.826275170899,9327.161980749286,198.1,17.011222681630223
2005-12-01,10927.468558014862,9338.82093322522,198.1,17.011222681630223
2006-01-01,10941.127893712379,9294.194442576545,199.3,17.72002362669818
2006-02-01,10954.80430357952,9301.145278816513,199.4,17.779090372120486
2006-03-01,10968.497808958995,9298.781567635244,199.7,17.95629060838746
2006-04-01,10982.208431220193,9264.015383186741,200.7,18.54695806261073
2006-05-01,10995.936191759218,9247.948322229684,201.3,18.90135853514472
2006-06-01,11009.681111998916,9236.565967598694,201.8,19.196692262256356
2006-07-01,11023.443213388915,9197.97405631712,202.9,19.846426461901935
2006-08-01,11037.222517405651,9168.801630013624,203.8,20.378027170702893
2006-09-01,11051.019045552408,9225.530199270328,202.8,19.787359716479624
2006-10-01,11064.832819359348,9278.237723217126,201.9,19.255759007678662
2006-11-01,11078.663860383547,9285.236591895717,202.0,19.314825753100994
2006-12-01,11092.512190209025,9246.49095914519,203.1,19.964559952746598
2007-01-01,11106.377830446787,9242.576517374368,203.44,20.1653868871825
2007-02-01,11120.260802734845,9218.333026014832,204.23,20.6320141760189
2007-03-01,11134.161128738262,9182.198251718972,205.29,21.258121677495566
2007-04-01,11148.078830149187,9166.43878554763,205.9,21.618428824571765
2007-05-01,11162.01392868687,9139.722180918396,206.76,22.126402835203773
2007-06-01,11175.96644609773,9130.391928409717,207.23,22.40401653868871
2007-07-01,11189.93640415535,9125.511720729774,207.6,22.62256349675131
2007-08-01,11203.923824660547,9133.838799610106,207.67,22.663910218546945
2007-09-01,11217.928729441372,9106.666669357104,208.55,23.18369757826344
2007-10-01,11231.951140353174,9090.154061196963,209.19,23.561724748966316
2007-11-01,11245.991079278614,9030.718065369585,210.83,24.530419373892485
2007-12-01,11260.048568127711,9015.920462466996,211.44,24.890726520968688
2008-01-01,11274.123628837871,8996.13107584603,212.17,25.321913762551663
2008-02-01,11288.216283373917,8985.354350346533,212.69,25.629060838747787
2008-03-01,11302.326553728135,8964.553223453611,213.45,26.07796810395746
2008-04-01,11316.454461920295,8955.201179784548,213.94,26.36739515652686
2008-05-01,11330.600029997695,8913.482575524416,215.21,27.11754282339043
2008-06-01,11344.763280035193,8832.28374556221,217.46,28.446544595392798
2008-07-01,11358.944234135235,8780.336311017694,219.02,29.3679858239811
2008-08-01,11373.142914427905,8804.577691767545,218.69,29.17306556408741
2008-09-01,11387.359343070939,8807.93099772437,218.88,29.285292380389837
2008-10-01,11401.593542249777,8895.344639183813,217.0,28.174837566450073
2008-11-01,11415.845534177588,9067.335908685272,213.15,25.90076786769049
2008-12-01,11430.11534109531,9153.824632201684,211.4,24.867099822799755
2009-01-01,11444.40298527168,9142.346177542091,211.93,25.18015357353809
2009-02-01,11458.70848900327,9120.636329046798,212.7,25.634967513289997
2009-03-01,11473.031874614524,9140.631982928184,212.5,25.516834022445355
2009-04-01,11487.373164457791,9143.022315559701,212.71,25.640874187832253
2009-05-01,11501.732380913363,9141.128964832562,213.02,25.823981098641458
2009-06-01,11516.109546389504,9077.132763181447,214.79,26.869462492616634
2009-07-01,11530.504683322491,9091.018688057087,214.73,26.83402244536324
2009-08-01,11544.917814176642,9072.38482148211,215.44,27.25339633786177
2009-09-01,11559.348961444364,9066.051047774163,215.86,27.50147666863556
2009-10-01,11573.798147646168,9050.131755560928,216.51,27.88541051388067
2009-11-01,11588.265395330725,9031.410631264062,217.23,28.310691080921437
2009-12-01,11602.750727074888,9037.707375632752,217.35,28.381571175428235
2010-01-01,11617.254165483733,9043.179595459083,217.49,28.464264619019495
2010-02-01,11631.775733190589,9063.234681651173,217.28,28.3402244536326
2010-03-01,11646.315452857074,9071.64116019647,217.35,28.381571175428235
2010-04-01,11660.873347173147,9080.891709643118,217.4,28.4111045481394
2010-05-01,11675.449438857113,9096.845644063276,217.29,28.346131128174832
2010-06-01,11690.043750655683,9111.990824060807,217.2,28.292971057294736
2010-07-01,11704.656305344004,9106.609891979504,217.6,28.52923803898404
2010-08-01,11719.287125725681,9104.604030769815,217.92,28.71825162433548
2010-09-01,11733.93623463284,9100.950176485889,218.28,28.930891907855873
2010-10-01,11748.603654926132,9080.709453885109,219.04,29.379799173065546
2010-11-01,11763.289409494788,9069.287750022624,219.59,29.704666272888346
2010-12-01,11777.993521256656,9044.379294909746,220.47,30.224453632604842
2011-01-01,11792.716013158226,9026.207428128251,221.19,30.649734199645586
2011-02-01,11807.456908174674,9008.573477034575,221.9,31.069108092144116
2011-03-01,11822.216229309892,8973.329780866015,223.05,31.748375664500884
2011-04-01,11836.993999596529,8942.849230807677,224.09,32.36266981689309
2011-05-01,11851.790242096024,8925.350687188546,224.81,32.787950383933826
2011-06-01,11866.604979898642,8936.507375547531,224.81,32.787950383933826
2011-07-01,11881.438236123517,8924.256847274673,225.4,33.13644418192556
2011-08-01,11896.29003391867,8907.35439716258,226.11,33.555818074424096
2011-09-01,11911.16039646107,8899.203244134418,226.6,33.8452451269935
2011-10-01,11926.049346956645,8904.432875147784,226.75,33.93384524512699
2011-11-01,11940.95690864034,8899.080004546418,227.17,34.18192557590076
2011-12-01,11955.88310477614,8908.243154821761,227.22,34.21145894861193
2012-01-01,11970.827958657112,8895.106975950883,227.84,34.577672770230365
2012-02-01,11985.791493605431,8887.112949973282,228.33,34.867099822799766
2012-03-01,12000.773732972439,8879.555058748454,228.81,35.150620200826936
2012-04-01,12015.774700138652,8875.913681807557,229.19,35.37507383343177
2012-05-01,12030.794418513826,8905.659984497359,228.71,35.0915534554046
2012-06-01,12045.832911536969,8924.205810971507,228.52,34.97932663910219
2012-07-01,12060.890202676388,8932.624836226925,228.59,35.0206733608978
2012-08-01,12075.966315429734,8892.054180594356,229.92,35.806261075014746
2012-09-01,12091.06127332402,8860.776874615862,231.02,36.45599527466037
2012-10-01,12106.175099915674,8848.106736382852,231.64,36.82220909627878
2012-11-01,12121.30781879057,8874.107735010784,231.25,36.59184878913171
2012-12-01,12136.459453564057,8886.35319387767,231.22,36.57412876550501
2013-01-01,12151.630027881012,8879.795250864363,231.68,36.84583579444771
2013-02-01,12166.819565415863,8842.8030927488,232.94,37.590076786769046
2013-03-01,12182.028089872632,8879.013929806426,232.28,37.200236266981676
2013-04-01,12197.255624984973,8908.521903839328,231.8,36.91671588895451
2013-05-01,12212.502194516204,8916.195702840114,231.89,36.96987595983459
2013-06-01,12227.76782225935,8906.21705519062,232.44,37.29474305965741
2013-07-01,12243.052532037173,8899.737199115043,232.9,37.566450088600114
2013-08-01,12258.35634770222,8889.487405405576,233.46,37.89722386296515
2013-09-01,12273.679293136845,8897.550331112736,233.54,37.944477259302985
2013-10-01,12289.021392253268,8903.716017068851,233.67,38.02126402835202
2013-11-01,12304.382668993583,8898.470678601512,234.1,38.27525103366802
2013-12-01,12319.763147329826,8886.059563918456,234.72,38.64146485528646
2014-01-01,12335.162851263987,8875.613373789764,235.29,38.978145304193724
2014-02-01,12350.581804828067,8876.898745732931,235.55,39.13171884229178
2014-03-01,12366.020032084101,8869.919889132052,236.03,39.41523922031895
2014-04-01,12381.477557124204,8864.482388553,236.47,39.67513290017719
2014-05-01,12396.95440407061,8858.704966271967,236.92,39.94093325457766
2014-06-01,12412.4505970757,8858.187775934393,237.23,40.124040165386866
2014-07-01,12427.966160322043,8859.177561863251,237.5,40.28352037802716
2014-08-01,12443.501118022446,8871.745722568856,237.46,40.25989367985823
2014-09-01,12459.055494419972,8882.087313480299,237.48,40.27170702894269
2014-10-01,12474.629313787997,8895.062725116068,237.43,40.24217365623153
2014-11-01,12490.222600430232,8923.093451991048,236.98,39.97637330183106
2014-12-01,12505.83537868077,8961.853670309649,236.25,39.545186060248064
