Date,BND,SPY,VTIP,VXUS
2015-01-02,62.387088775634766,172.0752410888672,37.784854888916016,35.671600341796875
2015-01-05,62.56828308105469,168.96763610839844,37.74576187133789,34.887290954589844
2015-01-06,62.7493896484375,167.37612915039062,37.65976333618164,34.62091827392578
2015-01-07,62.787132263183594,169.4617919921875,37.7223014831543,35.02786636352539
2015-01-08,62.689022064208984,172.46893310546875,37.76921844482422,35.471824645996094
2015-01-09,62.79472732543945,171.08682250976562,37.80048370361328,35.323848724365234
2015-01-12,62.877742767333984,169.74661254882812,37.777034759521484,35.18324279785156
2015-01-13,62.93811798095703,169.26918029785156,37.777034759521484,35.36824417114258
2015-01-14,63.08155822753906,168.24722290039062,37.83958435058594,35.220252990722656
2015-01-15,63.36085891723633,166.70603942871094,37.97248840332031,35.471824645996094
2015-01-16,63.1721076965332,168.8922576904297,37.87866973876953,35.81959533691406
2015-01-20,63.10417175292969,169.25245666503906,37.8942985534668,35.863983154296875
2015-01-21,62.98340606689453,170.10679626464844,37.870849609375,36.2043571472168
2015-01-22,62.998504638671875,172.636474609375,37.86302947998047,36.448516845703125
2015-01-23,63.20232009887695,171.68995666503906,37.94121551513672,36.19694519042969
2015-01-26,63.12678909301758,172.09197998046875,37.93340301513672,36.58171081542969
2015-01-27,63.16459274291992,169.8219757080078,37.99593734741211,36.54471206665039
2015-01-28,63.39099884033203,167.64419555664062,38.003761291503906,36.07115936279297
2015-01-29,63.32307434082031,169.19378662109375,37.98813247680664,36.41893768310547
2015-01-30,63.67032241821289,167.066162109375,38.097572326660156,35.863983154296875
2015-02-02,63.59469223022461,169.1351318359375,38.12102127075195,36.396724700927734
2015-02-03,63.39796829223633,171.58102416992188,38.12885284423828,36.95907974243164
2015-02-04,63.42069625854492,170.92764282226562,38.12102127075195,36.66310119628906
2015-02-05,63.284576416015625,172.65318298339844,38.07413101196289,37.08485412597656
2015-02-06,62.87611770629883,172.17578125,37.94903564453125,36.58171081542969
2015-02-09,62.85343933105469,171.40509033203125,37.92557907104492,36.50033187866211
2015-02-10,62.73999786376953,173.23117065429688,37.87866973876953,36.685298919677734
2015-02-11,62.73999786376953,173.33164978027344,37.85521697998047,36.507720947265625
2015-02-12,62.77025604248047,174.99859619140625,37.870849609375,37.099647521972656
2015-02-13,62.626495361328125,175.71893310546875,37.84740447998047,37.34382629394531
