Date,USMV,VYM,SPLV,AGG
2/1/24,76.73954772949219,108.50279235839844,61.71635055541992,93.98434448242188
3/1/24,76.56320953,107.84618377685547,61.56013107299805,94.03193664550781
4/1/24,76.41625213623047,107.7496337890625,61.521080017089844,93.65132904052734
5/1/24,76.27909088134766,108.0199966430664,61.42344665527344,93.43251037597656
8/1/24,76.86691284179688,108.62831115722656,61.794464111328125,93.7845459
9/1/24,76.71994018554688,107.93309783935547,61.68705749511719,93.76552582
10/1/24,76.91589355,107.94274139404297,61.71635055541992,93.58473969
11/1/24,76.83751678466797,107.51789855957031,61.38438415527344,94.11756896972656
12/1/24,77.20979309082031,107.65306091308594,61.65776824951172,94.28881836
16/1/24,76.98446655273438,106.83232116699219,61.39415359,93.58473969
17/1/24,76.81792449951172,106.19503784179688,61.23793411254883,93.32784271240234
18/1/24,77.20000457763672,106.58126831054688,61.35509490966797,93.24222564697266
19/1/24,77.76822662353516,107.77859497070312,61.54059982299805,93.26126098632812
22/1/24,77.90538024902344,107.94274139404297,61.432010650634766,93.43251037597656
23/1/24,78.23847961425781,108.28070068359375,61.666812896728516,93.20416259765625
24/1/24,77.89559936523438,107.99102783203125,61.079795837402344,92.99485016
25/1/24,78.2972641,109.1786880493164,61.647247314453125,93.41349029541016
26/1/24,78.35604858398438,109.1014404296875,61.63746643066406,93.30882263183594
29/1/24,78.58137512207031,109.42008972167969,61.84292221069336,93.67987823486328
30/1/24,78.84588623046875,109.82563781738281,62.175567626953125,93.86065673828125
31/1/24,78.10133361816406,108.5993423461914,61.75487137,94.28881836
1/2/24,78.99283599853516,109.41043090820312,62.50822448730469,94.82608032226562
2/2/24,78.71853637695312,109.23662567138672,62.08751297,93.95767974853516
5/2/24,78.24828338623047,108.39657592773438,61.50049973,93.18472290039062
6/2/24,78.40502166748047,108.84073638916016,61.715728759765625,93.67140197753906
7/2/24,78.74791717529297,109.04352569580078,61.78422546386719,93.48054504394531
8/2/24,78.63035583496094,109.1014404296875,61.61790084838867,93.19427490234375
9/2/24,78.71853637695312,108.99523162841797,61.59832763671875,93.16564178466797
12/2/24,78.65974426269531,109.74839782714844,61.882057189941406,93.18472290039062
13/2/24,78.07193756103516,108.2517318725586,61.353736877441406,92.32587432861328
14/2/24,78.46380615234375,108.78280639648438,61.45157241821289,92.73622131347656
15/2/24,79.01243591308594,110.29877471923828,62.077735900878906,92.95571136
16/2/24,78.82629395,110.00909423828125,61.97990036010742,92.65988159179688
20/2/24,78.78710174560547,110.01875305175781,62.138702392578125,92.74576568603516
21/2/24,79.03202819824219,110.57879638671875,62.54060363769531,92.46903228759766
22/2/24,79.84517669677734,111.33196258544922,62.903297424316406,92.54536437988281
23/2/24,80.12929535,111.58299255371094,63.177772521972656,92.88889313
26/2/24,79.75701141357422,111.14849090576172,62.70724868774414,92.68850708007812
27/2/24,79.78640747070312,111.31263732910156,62.80527114868164,92.56446075439453
28/2/24,79.84517669677734,111.24504852294922,62.95232009887695,92.74576568603516
29/2/24,79.73741149902344,111.44781494140625,62.74645996,92.89845275878906
1/3/24,80.12929535,112.16236114501953,62.73666000366211,93.34445190429688
4/3/24,80.22725677490234,112.4713363647461,62.893497467041016,93.11473083496094
5/3/24,79.71781921386719,112.36512756347656,62.717044830322266,93.62200164794922
6/3/24,80.27625274658203,113.06034088134766,63.10915756225586,93.76555633544922
7/3/24,80.57015228271484,113.57211303710938,63.30521011352539,93.96653747558594
8/3/24,80.46237946,113.2920913696289,63.32482147216797,94.05269622802734
11/3/24,80.74649047851562,113.83280944824219,63.667911529541016,93.94740295410156
12/3/24,81.07959747314453,114.05490112304688,63.72671127319336,93.70814514160156
13/3/24,80.97183990478516,114.25767517089844,63.69731521606445,93.53587341308594
14/3/24,80.68772125,113.62039184570312,63.32482147216797,92.94246673583984
15/3/24,80.52117156982422,113.52911376953125,63.256195068359375,92.93289947509766
18/3/24,80.70730590820312,113.69417572021484,63.45652770996094,92.83720397949219
19/3/24,81.19715881347656,114.27678680419922,63.86896896362305,93.06688690185547
20/3/24,81.41269684,115.26719665527344,63.967166900634766,93.25830841064453
21/3/24,81.57012176513672,116.21878051757812,64.02607727050781,93.32530975341797
22/3/24,81.36348724365234,115.62648010253906,63.81004333496094,93.62200164794922
25/3/24,81.10766602,115.50023651123047,63.57435226,93.44973754882812
26/3/24,81.09781646728516,115.22835540771484,63.56454849243164,93.54543304
27/3/24,82.04242706298828,117.07324981689453,64.46798706054688,93.85170746
28/3/24,82.23921966552734,117.48107147216797,64.68401336669922,93.73684692382812
1/4/24,81.94403076171875,117.0344238,64.30104064941406,93.05529785
2/4/24,81.52092742919922,116.57805633544922,64.13410949707031,92.98811340332031
3/4/24,81.33397674560547,116.37413787841797,63.81004333496094,93.04569244384766
4/4/24,80.62553405761719,115.22835540771484,63.29940414428711,93.26647949
5/4/24,81.01911163330078,115.80125427246094,63.54491043,92.80572509765625
8/4/24,80.96990966796875,115.86922454833984,63.51544952392578,92.71931457519531
9/4/24,80.98958587646484,116.0925521850586,63.69221115112305,93.03610229492188
10/4/24,80.20242309570312,114.6263427734375,62.92624282836914,91.92259216308594
11/4/24,80.03514862060547,114.48069763183594,62.415618896484375,91.94178009033203
12/4/24,79.16926574707031,112.73290252685547,61.92461013793945,92.11456298828125
15/4/24,78.69697570800781,112.17942810058594,61.62019348144531,91.55781555175781
16/4/24,78.63793182373047,111.5774154663086,61.48271179199219,91.29863739013672
17/4/24,78.63793182373047,111.38320922851562,61.698753356933594,91.72100830078125
