Name,Ticker,Industry,Weight
"Leidos Holdings, Inc.",LDOS,Industrials,0.04%
"Tyson Foods, Inc.",TSN,Consumer Staples,0.04%
Deckers Outdoor Corp,DECK,Consumer Discretionary,0.04%
Packaging Corp of America,PKG,Materials,0.04%
Snap-on Incorporated,SNA,Consumer Discretionary,0.04%
"Super Micro Computer, Inc.",SMCI,Information Technology,0.04%
Baxter International Inc.,BAX,Health Care,0.04%
"Ulta Beauty, Inc.",ULTA,Consumer Discretionary,0.04%
Factset Research Systems,FDS,Information Technology,0.04%
"The Cooper Companies, Inc.",COO,Health Care,0.03%
"Expeditors International of Washington, Inc.",EXPD,Industrials,0.03%
Genuine Parts Company,GPC,Consumer Discretionary,0.03%
Trimble Inc.,TRMB,Information Technology,0.03%
"West Pharmaceutical Services, Inc.",WST,Health Care,0.03%
Domino's Pizza Inc.,DPZ,Consumer Discretionary,0.03%
Alliant Energy Corporation,LNT,Utilities,0.03%
Loews Corporation,L,Financials,0.03%
Keycorp,KEY,Financials,0.03%
"Everest Group, Ltd.",EG,Financials,0.03%
Omnicom Group Inc.,OMC,Communication Services,0.03%
The Estee Lauder Companies Inc. Class A,EL,Consumer Staples,0.03%
Dollar Tree Inc.,DLTR,Consumer Discretionary,0.03%
"F5, Inc.",FFIV,Information Technology,0.03%
Ball Corporation,BALL,Materials,0.03%
"Evergy, Inc.",EVRG,Utilities,0.03%
Jabil Inc.,JBL,Information Technology,0.03%
"Rollins, Inc.",ROL,Industrials,0.03%
Jacobs Solutions Inc.,J,Industrials,0.03%
"Tapestry, Inc.",TPR,Consumer Discretionary,0.03%
Masco Corporation,MAS,Consumer Discretionary,0.03%
Gen Digital Inc.,GEN,Information Technology,0.03%
Pentair Plc,PNR,Industrials,0.03%
"Alexandria Real Estate Equities, Inc.",ARE,Real Estate,0.03%
"Builders Firstsource, Inc.",BLDR,Industrials,0.03%
Zebra Technologies Corporation,ZBRA,Information Technology,0.03%
"Best Buy Company, Inc.",BBY,Consumer Discretionary,0.03%
Western Digital Corp.,WDC,Information Technology,0.03%
Avery Dennison Corp.,AVY,Materials,0.03%
Aptiv Plc,APTV,Consumer Discretionary,0.03%
"Healthpeak Properties, Inc.",DOC,Real Estate,0.03%
Kimco Realty Corp.,KIM,Real Estate,0.03%
Amcor Plcs,AMCR,Materials,0.03%
Hologic Inc,HOLX,Health Care,0.03%
"Teradyne, Inc.",TER,Information Technology,0.03%
Idex Corporation,IEX,Industrials,0.03%
Las Vegas Sands Corp.,LVS,Consumer Discretionary,0.03%
"Textron, Inc.",TXT,Industrials,0.03%
"Cf Industries Holding, Inc.",CF,Materials,0.03%
"First Solar, Inc.",FSLR,Energy,0.03%
"Udr, Inc.",UDR,Real Estate,0.03%
Henry (Jack) & Associates,JKHY,Information Technology,0.03%
"Revvity, Inc.",RVTY,Information Technology,0.03%
Camden Property Trust,CPT,Real Estate,0.03%
