Date,Close,High,Low,Open,Volume
22/3/24,446.3800048828125,447.4899902,444.4899902,445.3500061035156,28229300
25/3/24,444.7600098,446.2600098,442.5400085449219,443.54998779296875,27789200
26/3/24,443.32000732421875,447.2300109863281,443.0899963378906,446.29998779296875,34142000
27/3/24,444.8299865722656,446.5400085449219,441.92999267578125,446.44000244140625,41359200
28/3/24,444.0100098,445.6400146484375,443.6499938964844,444.7799987792969,36839600
1/4/24,444.95001220703125,447.5299987792969,443.0199890136719,444.9700012207031,38729000
2/4/24,441.1099853515625,441.42999267578125,438.0299987792969,440.0799865722656,44259700
3/4/24,442.1000061035156,444,438.95001220703125,438.9599914550781,39949800
4/4/24,435.3399963378906,446.95001220703125,435.1099853515625,446.3299865722656,57267700
5/4/24,440.4700012207031,443.1700134277344,435.9599914550781,436.7799987792969,54723000
8/4/24,440.6000061035156,442.5,439.20001220703125,441.4100036621094,28144900
9/4/24,442.2300109863281,443.2399902,437.44000244140625,442.9599914550781,39521600
10/4/24,438.3699951171875,439.2399902,436.2799987792969,437,61502200
11/4/24,445.3699951171875,446.3299865722656,437.9599914550781,440.2600098,45474600
12/4/24,438.2699890136719,442.2399902,436.8800048828125,441.1000061035156,53602600
15/4/24,431.05999755859375,442.1499938964844,430.2099914550781,442.05999755859375,63453600
16/4/24,431.1000061035156,433.7600098,429.70001220703125,430.8999938964844,47619000
17/4/24,425.8399963378906,433.1199951171875,424.8999938964844,433.1000061035156,56880500
18/4/24,423.4100036621094,428.2399902,422.8299865722656,426.4899902,46549400
19/4/24,414.6499938964844,422.75,413.07000732421875,422.2200012207031,75136600
22/4/24,418.82000732421875,421.17999267578125,413.94000244140625,417.30999755859375,47807700
23/4/24,425.07000732421875,426.2799987792969,418.8699951171875,420.7699890136719,44384700
24/4/24,426.5100098,429.7300109863281,424.20001220703125,428.20001220703125,48440300
25/4/24,424.45001220703125,425.32000732421875,418.1400146484375,419.2399902,57392200
26/4/24,431,432.54998779296875,426.9200134277344,427.6199951171875,41874900
29/4/24,432.75,433.7600098,429.9800109863281,433.1300048828125,30022200
30/4/24,424.5899963378906,432.55999755859375,424.5100098,431.1499938964844,43665900
1/5/24,421.5199890136719,430.1400146484375,420.6600036621094,423.1499938964844,52251700
2/5/24,426.8999938964844,427.80999755859375,420.6300048828125,425.29998779296875,36559000
3/5/24,435.4800109863281,436.4800109863281,432.6199951171875,434.44000244140625,48515300
