Date,Close,High,Low,Open,Volume
22/3/24,339.0100098,339.9100036621094,337.9899902,338.6700134277344,788000
25/3/24,337.70001220703125,338.6600036621094,336.45001220703125,337.6199951171875,765500
26/3/24,336.5299987792969,339.2300109863281,336.42999267578125,339.07000732421875,1107200
27/3/24,337.9200134277344,338.9100036621094,335.4100036621094,338.6000061035156,1675100
28/3/24,337.04998779296875,337.9800109863281,336.44000244140625,337.1400146484375,1392100
1/4/24,336.8500061035156,338.9100036621094,335.5100098,337.55999755859375,823200
2/4/24,333.9100036621094,334.32000732421875,331.7099914550781,332.8800048828125,1420200
3/4/24,334.82000732421875,336.2200012207031,332.8699951171875,332.8699951171875,943200
4/4/24,330.1199951171875,338.3399963378906,330,337.5199890136719,846100
5/4/24,334.69000244140625,336.19000244140625,331.29998779296875,331.6499938964844,1518900
8/4/24,334.7300109863281,336.0199890136719,333.7699890136719,335.45001220703125,1700200
9/4/24,335.0799865722656,336.3299865722656,331.5299987792969,336.2600098,956700
10/4/24,332.6400146484375,333.4800109863281,330.94000244140625,331.0899963378906,1238800
11/4/24,337.3800048828125,338.1199951171875,332.0299987792969,334.0100098,2655800
12/4/24,332.6199951171875,335.7699890136719,331.6199951171875,334.6600036621094,1365000
15/4/24,327.0100098,335.5899963378906,326.6099853515625,335.5899963378906,2602800
16/4/24,327.0199890136719,329.2200012207031,326.2300109863281,327.3399963378906,1391600
17/4/24,324.2399902,329.0799865722656,323.3599853515625,328.9200134277344,1284200
18/4/24,322.4800109863281,326.2699890136719,322.1499938964844,324.8500061035156,2831800
19/4/24,316.1499938964844,322.25,315.2399902,321.8699951171875,2831200
22/4/24,319.29998779296875,321.2200012207031,315.80999755859375,318.3599853515625,1267900
23/4/24,324.0299987792969,324.6000061035156,320.67999267578125,321.17999267578125,677500
24/4/24,324.0899963378906,326.6099853515625,322.5,326.1099853515625,686600
25/4/24,322.04998779296875,322.69000244140625,316.55999755859375,317.3900146484375,978900
26/4/24,327.9899902,329.1199951171875,325.69000244140625,326.44000244140625,857400
29/4/24,328.42999267578125,329.7200012207031,326.55999755859375,329.3599853515625,771000
30/4/24,322.8399963378906,329.0299987792969,322.7399902,327.8599853515625,919500
1/5/24,321.6700134277344,327.57000732421875,320.9700012207031,322.69000244140625,1082400
2/5/24,325.6400146484375,326.17999267578125,321.3900146484375,324.3900146484375,887000
3/5/24,331.5,332.1400146484375,329.5199890136719,331.4899902,751900
6/5/24,335.8399963378906,335.8399963378906,332.1099853515625,332.7200012207031,814700
7/5/24,335.6700134277344,336.8800048828125,335.0400085449219,336.05999755859375,964800
