Name,Ticker,Weight,Sector,Shares Held
ROLLINS INC,ROL,0.030461,Unknown,3557885.0
FIRST SOLAR INC,FSLR,0.030323,Unknown,1352841.0
BUILDERS FIRSTSOURCE INC,BLDR,0.030146,Unknown,1454611.0
AVERY DENNISON CORP,AVY,0.030131,Unknown,1015024.0
HOLOGIC INC,HOLX,0.029976,Unknown,2926141.0
HEALTHPEAK PROPERTIES INC,DOC,0.029877,Unknown,8838251.0
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.0298,Unknown,649842.0
AMCOR PLC,AMCR,0.029752,Unknown,18306497.0
TERADYNE INC,TER,0.02964,Unknown,2058159.0
PENTAIR PLC,PNR,0.029597,Unknown,2087757.0
BEST BUY CO INC,BBY,0.029296,Unknown,2469217.0
KIMCO REALTY CORP,KIM,0.028829,Unknown,8485753.0
IDEX CORP,IEX,0.0287,Unknown,954132.0
REVVITY INC,RVTY,0.028641,Unknown,1538307.0
DOLLAR TREE INC,DLTR,0.028506,Unknown,2559143.0
CF INDUSTRIES HOLDINGS INC,CF,0.028505,Unknown,2198676.0
TEXTRON INC,TXT,0.028473,Unknown,2344180.0
JACK HENRY + ASSOCIATES INC,JKHY,0.027325,Unknown,923491.0
UDR INC,UDR,0.027297,Unknown,3801215.0
CAMDEN PROPERTY TRUST,CPT,0.02662,Information Technology,1351014.0
CONAGRA BRANDS INC,CAG,0.026272,Unknown,6031341.0
STANLEY BLACK + DECKER INC,SWK,0.026138,Unknown,1950559.0
POOL CORP,POOL,0.026014,Unknown,480558.0
JM SMUCKER CO/THE,SJM,0.025436,Unknown,1348579.0
HUNT (JB) TRANSPRT SVCS INC,JBHT,0.025389,Unknown,1006753.0
AKAMAI TECHNOLOGIES INC,AKAM,0.025197,Unknown,1898007.0
JUNIPER NETWORKS INC,JNPR,0.025028,Unknown,4170356.0
MODERNA INC,MRNA,0.0248,Unknown,4284228.0
REGENCY CENTERS CORP,REG,0.024575,Unknown,2068647.0
C.H. ROBINSON WORLDWIDE INC,CHRW,0.024149,Unknown,1485593.0
FOX CORP   CLASS A,FOXA,0.024073,Unknown,2794613.0
ALIGN TECHNOLOGY INC,ALGN,0.023934,Unknown,883523.0
NORDSON CORP,NDSN,0.023402,Unknown,686480.0
INCYTE CORP,INCY,0.023135,Unknown,2024497.0
ALLEGION PLC,ALLE,0.023075,Unknown,1098392.0
SKYWORKS SOLUTIONS INC,SWKS,0.022938,Unknown,2022857.0
VIATRIS INC,VTRS,0.02291,Unknown,15116601.0
LKQ CORP,LKQ,0.022886,Unknown,3285066.0
CARMAX INC,KMX,0.022879,Unknown,1957594.0
ERIE INDEMNITY COMPANY CL A,ERIE,0.022334,Unknown,316385.0
ASSURANT INC,AIZ,0.022313,Unknown,647978.0
PINNACLE WEST CAPITAL,PNW,0.022291,Unknown,1438500.0
EASTMAN CHEMICAL CO,EMN,0.022175,Unknown,1464613.0
BUNGE GLOBAL SA,BG,0.021912,Unknown,1764334.0
MOLSON COORS BEVERAGE CO   B,TAP,0.021891,Unknown,2207450.0
GLOBE LIFE INC,GL,0.021825,Unknown,1060417.0
EPAM SYSTEMS INC,EPAM,0.021782,Unknown,716405.0
HOST HOTELS + RESORTS INC,HST,0.021646,Unknown,8833231.0
SOLVENTUM CORP,SOLV,0.021347,Unknown,1749485.0
NEWS CORP   CLASS A,NWSA,0.021263,Unknown,4792277.0
PAYCOM SOFTWARE INC,PAYC,0.020931,Unknown,611478.0
INTERPUBLIC GROUP OF COS INC,IPG,0.020726,Unknown,4707182.0
UNIVERSAL HEALTH SERVICES B,UHS,0.020546,Unknown,742352.0
BIO TECHNE CORP,TECH,0.020174,Unknown,1996272.0
BXP INC,BXP,0.019873,Unknown,1840763.0
AES CORP,AES,0.018661,Unknown,9004276.0
RALPH LAUREN CORP,RL,0.018576,Unknown,507988.0
HENRY SCHEIN INC,HSIC,0.018559,Unknown,1575242.0
HORMEL FOODS CORP,HRL,0.018318,Unknown,3680592.0
CHARLES RIVER LABORATORIES,CRL,0.018204,Unknown,646160.0
ALBEMARLE CORP,ALB,0.018084,Unknown,1488317.0
DAYFORCE INC,DAY,0.017552,Unknown,1993059.0
NORWEGIAN CRUISE LINE HOLDIN,NCLH,0.017414,Unknown,5568591.0
WALGREENS BOOTS ALLIANCE INC,WBA,0.017246,Unknown,9075526.0
MARKETAXESS HOLDINGS INC,MKTX,0.017095,Unknown,477766.0
MOSAIC CO/THE,MOS,0.016876,Unknown,3990316.0
ENPHASE ENERGY INC,ENPH,0.016711,Unknown,1706879.0
SMITH (A.O.) CORP,AOS,0.016625,Unknown,1505068.0
HASBRO INC,HAS,0.016608,Unknown,1659531.0
WYNN RESORTS LTD,WYNN,0.016415,Unknown,1168645.0
HUNTINGTON INGALLS INDUSTRIE,HII,0.016383,Unknown,496520.0
GENERAC HOLDINGS INC,GNRC,0.016209,Unknown,751850.0
THE CAMPBELL S COMPANY,CPB,0.016114,Unknown,2481970.0
MATCH GROUP INC,MTCH,0.016109,Unknown,3173241.0
FEDERAL REALTY INVS TRUST,FRT,0.015346,Unknown,960189.0
APA CORP,APA,0.015054,Unknown,4684824.0
PARAMOUNT GLOBAL CLASS B,PARA,0.014797,Unknown,7532425.0
LAMB WESTON HOLDINGS INC,LW,0.014796,Unknown,1802105.0
MGM RESORTS INTERNATIONAL,MGM,0.014554,Unknown,2859350.0
INVESCO LTD,IVZ,0.014379,Unknown,5698881.0
DAVITA INC,DVA,0.013584,Unknown,570344.0
BROWN FORMAN CORP CLASS B,BF.B,0.013497,Unknown,2301331.0
TELEFLEX INC,TFX,0.013492,Unknown,586609.0
FOX CORP   CLASS B,FOX,0.013292,Unknown,1671455.0
BORGWARNER INC,BWA,0.012958,Unknown,2763951.0
FRANKLIN RESOURCES INC,BEN,0.012481,Unknown,3908807.0
MOHAWK INDUSTRIES INC,MHK,0.012426,Unknown,663788.0
CELANESE CORP,CE,0.012395,Unknown,1383364.0
CAESARS ENTERTAINMENT INC,CZR,0.012068,Unknown,2685071.0
FMC CORP,FMC,0.010776,Unknown,1581247.0
NEWS CORP   CLASS B,NWS,0.007222,Unknown,1421638.0
SANDISK CORP,SNDK,0.0,Unknown,0.665
