Name,Ticker,Weight,Sector,Shares Held
ADVANCED MICRO DEVICES,AMD,0.339391,Information Technology,20497297.0
TEXAS INSTRUMENTS INC,TXN,0.337711,Unknown,11526702.0
S+P GLOBAL INC,SPGI,0.324684,Consumer Staples,4009271.0
NEXTERA ENERGY INC,NEE,0.318704,Utilities,25964730.0
UBER TECHNOLOGIES INC,UBER,0.311909,Consumer Discretionary,26588309.0
PFIZER INC,PFE,0.30914,Health Care,71552477.0
AMERICAN EXPRESS CO,AXP,0.304107,Financials,7026962.0
BOOKING HOLDINGS INC,BKNG,0.303095,Consumer Discretionary,418104.0
UNION PACIFIC CORP,UNP,0.302667,Industrials,7654576.0
BOSTON SCIENTIFIC CORP,BSX,0.29952,Unknown,18609059.0
GILEAD SCIENCES INC,GILD,0.299175,Unknown,15748921.0
MORGAN STANLEY,MS,0.295226,Financials,15663510.0
HONEYWELL INTERNATIONAL INC,HON,0.286382,Industrials,8209853.0
COMCAST CORP CLASS A,CMCSA,0.282238,Communication Services,48194369.0
DANAHER CORP,DHR,0.279554,Unknown,8116208.0
BLACKROCK INC,BLK,0.279468,Financials,1838982.0
VERTEX PHARMACEUTICALS INC,VRTX,0.276228,Unknown,3254457.0
TJX COMPANIES INC,TJX,0.271123,Unknown,14240625.0
CITIGROUP INC,C,0.270951,Financials,23880148.0
LOWE S COS INC,LOW,0.269153,Unknown,7162525.0
T MOBILE US INC,TMUS,0.269072,Communication Services,6153346.0
SCHWAB (CHARLES) CORP,SCHW,0.267111,Unknown,21530520.0
STRYKER CORP,SYK,0.265879,Unknown,4332101.0
CONOCOPHILLIPS,COP,0.265128,Energy,16331837.0
APPLIED MATERIALS INC,AMAT,0.263432,Unknown,10409535.0
BRISTOL MYERS SQUIBB CO,BMY,0.260495,Health Care,25605655.0
FISERV INC,FI,0.253899,Unknown,7182741.0
BOEING CO/THE,BA,0.253783,Industrials,9438481.0
DEERE + CO,DE,0.253262,Industrials,3212771.0
MEDTRONIC PLC,MDT,0.252301,Unknown,16191485.0
AUTOMATIC DATA PROCESSING,ADP,0.250915,Unknown,5144270.0
PALO ALTO NETWORKS INC,PANW,0.245905,Unknown,8263717.0
MARSH + MCLENNAN COS,MMC,0.240623,Unknown,6200578.0
EATON CORP PLC,ETN,0.238893,Unknown,4989468.0
STARBUCKS CORP,SBUX,0.231958,Consumer Discretionary,14310914.0
CHUBB LTD,CB,0.229934,Unknown,4736560.0
MICRON TECHNOLOGY INC,MU,0.224138,Unknown,13997491.0
US DOLLAR,-,0.221014,Unknown,1309571872.19
PROLOGIS INC,PLD,0.217778,Real Estate,11692625.0
INTEL CORP,INTC,0.217771,Information Technology,54445452.0
ANALOG DEVICES INC,ADI,0.215586,Unknown,6267954.0
ALTRIA GROUP INC,MO,0.211408,Unknown,21394582.0
LOCKHEED MARTIN CORP,LMT,0.210316,Industrials,2663182.0
BLACKSTONE INC,BX,0.210031,Unknown,9115184.0
SOUTHERN CO/THE,SO,0.20923,Utilities,13831817.0
INTERCONTINENTAL EXCHANGE IN,ICE,0.207089,Unknown,7254715.0
AMERICAN TOWER CORP,AMT,0.206975,Real Estate,5902629.0
LAM RESEARCH CORP,LRCX,0.206321,Unknown,16243813.0
ELEVANCE HEALTH INC,ELV,0.206303,Unknown,2929668.0
CME GROUP INC,CME,0.199527,Unknown,4549930.0
DUKE ENERGY CORP,DUK,0.194612,Utilities,9754969.0
KLA CORP,KLAC,0.194246,Unknown,1688873.0
THE CIGNA GROUP,CI,0.184851,Unknown,3510676.0
NIKE INC  CL B,NKE,0.18444,Consumer Discretionary,15044879.0
MONDELEZ INTERNATIONAL INC A,MDLZ,0.184282,Consumer Staples,16879347.0
WELLTOWER INC,WELL,0.184054,Real Estate,7475312.0
AON PLC CLASS A,AON,0.181799,Unknown,2732656.0
UNITED PARCEL SERVICE CL B,UPS,0.179729,Unknown,9241940.0
ARISTA NETWORKS INC,ANET,0.176393,Unknown,13041927.0
CVS HEALTH CORP,CVS,0.176342,Unknown,15891706.0
GE VERNOVA INC,GEV,0.176333,Unknown,3479971.0
MCKESSON CORP,MCK,0.174091,Unknown,1602541.0
WASTE MANAGEMENT INC,WM,0.173174,Unknown,4614312.0
ARTHUR J GALLAGHER + CO,AJG,0.17181,Unknown,3153249.0
EQUINIX INC,EQIX,0.171453,Unknown,1218186.0
3M CO,MMM,0.169668,Industrials,6881128.0
SHERWIN WILLIAMS CO/THE,SHW,0.169034,Materials,2927728.0
CROWDSTRIKE HOLDINGS INC   A,CRWD,0.164884,Unknown,2938043.0
TRANE TECHNOLOGIES PLC,TT,0.16262,Unknown,2843231.0
PARKER HANNIFIN CORP,PH,0.162266,Unknown,1625073.0
TRANSDIGM GROUP INC,TDG,0.159505,Unknown,710493.0
O REILLY AUTOMOTIVE INC,ORLY,0.158779,Unknown,729599.0
AMPHENOL CORP CL A,APH,0.158258,Unknown,15217884.0
COLGATE PALMOLIVE CO,CL,0.157703,Unknown,10322961.0
KKR + CO INC,KKR,0.156356,Unknown,8523823.0
ZOETIS INC,ZTS,0.153998,Unknown,5700886.0
REGENERON PHARMACEUTICALS,REGN,0.152807,Unknown,1330315.0
MOTOROLA SOLUTIONS INC,MSI,0.147188,Unknown,2111549.0
MOODY S CORP,MCO,0.145353,Unknown,1967238.0
EOG RESOURCES INC,EOG,0.145253,Energy,7107649.0
WILLIAMS COS INC,WMB,0.144696,Unknown,15398085.0
GENERAL DYNAMICS CORP,GD,0.143594,Unknown,3257923.0
ILLINOIS TOOL WORKS,ITW,0.143484,Unknown,3395721.0
NORTHROP GRUMMAN CORP,NOC,0.143299,Consumer Staples,1730754.0
PAYPAL HOLDINGS INC,PYPL,0.143055,Information Technology,12668418.0
PNC FINANCIAL SERVICES GROUP,PNC,0.142862,Unknown,5013616.0
CHIPOTLE MEXICAN GRILL INC,CMG,0.141604,Unknown,17218250.0
CADENCE DESIGN SYS INC,CDNS,0.141278,Unknown,3465440.0
