date,close_price,cpi_value,adj_fac,real_price,nominal_inv_10k,real_inv_10k
2000-01-01,93.61,169.3,1.0,93.61,10000.0,10000.0
2000-02-01,89.82,170.0,1.0041346721795628,89.45015294117648,9595.128725563507,9555.619371987661
2000-03-01,88.23,171.0,1.0100413467217955,87.35285964912282,9425.27507744899,9331.573512351546
2000-04-01,96.08,170.9,1.0094506792675724,95.18047981275599,10263.860698643308,10167.768380809315
2000-05-01,93.97,171.2,1.011222681630242,92.92710864485981,10038.457429761778,9927.049315763254
2000-06-01,92.85,172.2,1.0171293561724748,91.28632404181185,9918.812092725135,9751.770541802356
2000-07-01,93.05,172.7,1.0200826934435911,91.21809496236249,9940.177331481678,9744.481888939481
2000-08-01,92.15,172.7,1.0200826934435911,90.33581354950783,9844.033757077237,9650.231123758982
2000-09-01,97.67,173.6,1.0253987005316005,95.25075460829495,10433.714346757824,10175.2755697356
2000-10-01,92.22,173.9,1.0271707028942705,89.78059804485336,9851.511590642025,9590.919564667596
2000-11-01,91.48,174.2,1.0289427052569402,88.90679678530427,9772.460207242817,9497.574701987423
2000-12-01,84.89,174.6,1.0313053750738332,82.31315578465065,9068.47559021472,8793.201130717942
2001-01-01,84.49,175.6,1.037212049616066,81.45875284738042,9025.745112701634,8701.928516972592
2001-02-01,88.83,176.0,1.0395747194329592,85.44840340909091,9489.370793718621,9128.127701003195
2001-03-01,80.25,176.1,1.0401653868871825,77.15119250425894,8572.802051062921,8241.768241027556
2001-04-01,75.36,176.4,1.0419373892498522,72.32680272108844,8050.421963465442,7726.397043167231
2001-05-01,82.05,177.3,1.0472533963378619,78.34780033840947,8765.089199871809,8369.597301400434
2001-06-01,81.84,177.7,1.0496160661547547,77.97136747326958,8742.655699177438,8329.384411202818
2001-07-01,79.4,177.4,1.047844063792085,75.77463359639235,8481.999786347613,8094.715692382475
2001-08-01,79.08,177.4,1.047844063792085,75.46924464487036,8447.815404337143,8062.092153068087
2001-09-01,73.92,178.1,1.051978735971648,70.26758001122965,7896.592244418332,7506.418118922087
2001-10-01,67.78,177.6,1.0490253987005316,64.61235360360361,7240.679414592458,6902.291806815897
2001-11-01,70.54,177.5,1.0484347312463083,67.28125070422536,7535.519709432754,7187.399925673044
2001-12-01,74.14,177.4,1.047844063792085,70.75480270574973,7920.0940070505285,7558.466264902225
2002-01-01,74.56,177.7,1.0496160661547547,71.03549803038831,7964.96100843927,7588.451878045968
2002-02-01,73.48,178.0,1.0513880685174246,69.88856179775281,7849.588719153937,7465.929045802031
2002-03-01,74.19,178.5,1.054341405788541,70.36620168067228,7925.435316739664,7516.95349649314
2002-04-01,74.95,179.3,1.0590667454223273,70.76985499163413,8006.623224014528,7560.074243310985
2002-05-01,71.42,179.5,1.0602480803307737,67.36159331476324,7629.526759961543,7195.982620955372
2002-06-01,70.14,179.6,1.060838747784997,66.11749443207127,7492.789231919666,7063.08027262806
2002-07-01,63.69,180.0,1.06320141760189,59.903983333333336,6803.760282021151,6399.314531923228
2002-08-01,58.28,180.5,1.0661547548730064,54.663734072022166,6225.830573656661,5839.518648864669
2002-09-01,60.25,180.8,1.0679267572356763,56.4177267699115,6436.278175408611,6026.891012702863
2002-10-01,56.52,181.2,1.0702894270525694,52.808145695364246,6037.816472599081,5641.293205358856
2002-11-01,59.52,181.5,1.072061429415239,55.51920661157026,6358.295053947229,5930.905524150225
2002-12-01,61.97,181.8,1.073833431777909,57.70913641364137,6620.019228714881,6164.847389556818
2003-01-01,58.46,182.6,1.078558771411695,54.20196056955094,6245.05928853755,5790.189143205955
2003-02-01,57.02,183.6,1.0844654459539278,52.57889978213509,6091.22956949044,5616.803737008342
2003-03-01,56.26,183.9,1.0862374483165977,51.79346383904296,6010.041662215575,5532.898604747673
2003-04-01,57.24,183.2,1.0821027761370348,52.89700873362446,6114.7313321226375,5650.786105504162
2003-05-01,61.14,182.9,1.080330773774365,56.593778020776384,6531.353487875227,6045.697897743445
2003-06-01,64.5,183.1,1.0815121086828114,59.6387220098307,6890.289498985151,6370.9776743756765
