Name,Ticker,Weight,Market Value,Industry,,,
Ross Stores Inc.,ROST,0.0017000,"$493,005,620 ",Financials,,,
Atlassian Corp. Class A,TEAM,0.0017000,"$489,680,773 ",Industrials,,,
WW Grainger Inc.,GWW,0.0017000,"$473,960,922 ",Financials,,,
Targa Resources Corp.,TRGP,0.0017000,"$470,501,814 ",Industrials,,,
Yum! Brands Inc.,YUM,0.0017000,"$469,354,094 ",Financials,,,
MSCI Inc. Class A,MSCI,0.0017000,"$468,272,068 ",Financials,,,
Fastenal Co.,FAST,0.0016000,"$461,867,728 ",Industrials,,,
Fair Isaac Corp.,FICO,0.0016000,"$460,948,486 ",Industrials,,,
Cloudflare Inc. Class A,NET,0.0016000,"$458,456,808 ",Financials,,,
Aon plc Class A,AON,0.0016000,"$451,734,348 ",Financials,,,
Verisk Analytics Inc. Class A,VRSK,0.0016000,"$449,542,821 ",Financials,,,
Hess Corp.,HES,0.0016000,"$443,692,558 ",Industrials,,,
Coinbase Global Inc. Class A,COIN,0.0016000,"$440,067,698 ",Financials,,,
Lululemon Athletica Inc.,LULU,0.0015000,"$435,844,778 ",Financials,,,
Quanta Services Inc.,PWR,0.0014000,"$406,898,886 ",Financials,,,
Axon Enterprise Inc.,AXON,0.0014000,"$406,145,004 ",Financials,,,
Monster Beverage Corp.,MNST,0.0014000,"$401,943,809 ",Industrials,,,
Colgate-Palmolive Co.,CL,0.0014000,"$400,567,429 ",Industrials,,,
Motorola Solutions Inc.,MSI,0.0014000,"$394,186,195 ",Financials,,,
Gartner Inc.,IT,0.0014000,"$393,059,368 ",Financials,,,
IDEXX Laboratories Inc.,IDXX,0.0014000,"$386,650,459 ",Financials,,,
Square Inc.,XYZ,0.0014000,"$386,112,305 ",Financials,,,
Take-Two Interactive Software Inc.,TTWO,0.0014000,"$385,203,909 ",Financials,,,
HubSpot Inc.,HUBS,0.0014000,"$383,151,436 ",Financials,,,
Vertiv Holdings Co. Class A,VRT,0.0013000,"$378,839,507 ",Industrials,,,
ROBLOX Corp.,RBLX,0.0013000,"$378,346,037 ",Industrials,,,
DexCom Inc.,DXCM,0.0013000,"$377,005,420 ",Financials,,,
ResMed Inc.,RMD,0.0013000,"$370,528,986 ",Financials,,,
Datadog Inc. Class A,DDOG,0.0013000,"$367,821,311 ",Financials,,,
Old Dominion Freight Line Inc.,ODFL,0.0013000,"$364,443,907 ",Financials,,,
Veeva Systems Inc. Class A,VEEV,0.0012000,"$352,432,133 ",Financials,,,
Vulcan Materials Co.,VMC,0.0012000,"$351,496,262 ",Industrials,,,
CoStar Group Inc.,CSGP,0.0012000,"$350,102,714 ",Financials,,,
Alnylam Pharmaceuticals Inc.,ALNY,0.0012000,"$345,578,557 ",Financials,,,
Trade Desk Inc. Class A,TTD,0.0012000,"$332,312,349 ",Financials,,,
Equifax Inc.,EFX,0.0012000,"$330,021,300 ",Financials,,,
Royal Caribbean Cruises Ltd.,RCL,0.0011000,"$324,613,037 ",Financials,,,
Schlumberger Ltd.,SLB,0.0011000,"$322,453,316 ",Financials,,,
ANSYS Inc.,ANSS,0.0011000,"$318,496,023 ",Financials,,,
Brown & Brown Inc.,BRO,0.0011000,"$318,113,114 ",Financials,,,
Monolithic Power Systems Inc.,MPWR,0.0011000,"$311,843,618 ",Financials,,,
Broadridge Financial Solutions Inc.,BR,0.0011000,"$310,297,207 ",Financials,,,
LPL Financial Holdings Inc.,LPLA,0.0011000,"$309,380,243 ",Financials,,,
Church & Dwight Co. Inc.,CHD,0.0011000,"$300,972,252 ",Industrials,,,
Mettler-Toledo International Inc.,MTD,0.0010000,"$296,506,851 ",Financials,,,
Tyler Technologies Inc.,TYL,0.0010000,"$287,315,857 ",Financials,,,
Realty Income Corp.,O,0.0010000,"$277,291,665 ",Industrials,,,
Expedia Group Inc.,EXPE,0.0010000,"$271,366,141 ",Financials,,,
Live Nation Entertainment Inc.,LYV,0.0009000,"$261,525,627 ",Financials,,,
SBA Communications Corp. Class A,SBAC,0.0009000,"$261,196,512 ",Industrials,,,
Waters Corp.,WAT,0.0009000,"$250,754,128 ",Industrials,,,
Baker Hughes Co. Class A,BKR,0.0009000,"$249,589,315 ",Industrials,,,
Pinterest Inc. Class A,PINS,0.0008000,"$238,869,980 ",Financials,,,
Edwards Lifesciences Corp.,EW,0.0008000,"$238,203,966 ",Industrials,,,
Super Micro Computer Inc.,SMCI,0.0008000,"$231,847,886 ",Financials,,,
VeriSign Inc.,VRSN,0.0008000,"$226,997,704 ",Financials,,,
Robinhood Markets Inc. Class A,HOOD,0.0008000,"$213,247,093 ",Financials,,,
MongoDB Inc.,MDB,0.0007000,"$208,904,282 ",Financials,,,
Zscaler Inc.,ZS,0.0007000,"$205,404,930 ",Financials,,,
Teradyne Inc.,TER,0.0007000,"$203,714,497 ",Financials,,,
FactSet Research Systems Inc.,FDS,0.0007000,"$201,016,662 ",Financials,,,
Domino's Pizza Inc.,DPZ,0.0007000,"$188,613,765 ",Financials,,,
West Pharmaceutical Services Inc.,WST,0.0007000,"$187,846,658 ",Financials,,,
Tradeweb Markets Inc. Class A,TW,0.0007000,"$184,479,799 ",Financials,,,
Burlington Stores Inc.,BURL,0.0006000,"$181,216,784 ",Financials,,,
Rollins Inc.,ROL,0.0006000,"$179,928,792 ",Financials,,,
HEICO Corp. Class A,HEI.A,0.0006000,"$177,333,346 ",Industrials,,,
Diamondback Energy Inc.,FANG,0.0006000,"$175,973,012 ",Financials,,,
Okta Inc.,OKTA,0.0006000,"$174,776,368 ",Financials,,,
EQT Corp.,EQT,0.0006000,"$172,577,166 ",Industrials,,,
Martin Marietta Materials Inc.,MLM,0.0006000,"$169,734,329 ",Financials,,,
Las Vegas Sands Corp.,LVS,0.0006000,"$167,847,465 ",Industrials,,,
Carvana Co. Class A,CVNA,0.0006000,"$166,663,936 ",Industrials,,,
Texas Pacific Land Corp.,TPL,0.0006000,"$158,870,861 ",Industrials,,,
Illumina Inc.,ILMN,0.0006000,"$157,768,006 ",Financials,,,
First Solar Inc.,FSLR,0.0006000,"$157,250,451 ",Financials,,,
JB Hunt Transport Services Inc.,JBHT,0.0005000,"$153,313,934 ",Financials,,,
Hershey Co.,HSY,0.0005000,"$153,287,033 ",Industrials,,,
GoDaddy Inc. Class A,GDDY,0.0005000,"$148,737,111 ",Financials,,,
Veralto Corp.,VLTO,0.0005000,"$141,454,692 ",Industrials,,,
Seagate Technology Holdings plc,STX,0.0005000,"$134,329,303 ",Financials,,,
Interactive Brokers Group Inc.,IBKR,0.0005000,"$133,675,760 ",Financials,,,
Snap Inc.,SNAP,0.0005000,"$130,830,887 ",Financials,,,
Cabot Oil & Gas Corp.,CTRA,0.0004000,"$122,010,292 ",Industrials,,,
Insulet Corp.,PODD,0.0004000,"$121,689,715 ",Industrials,,,
HEICO Corp.,HEI,0.0004000,"$120,266,092 ",Industrials,,,
Sun Communities Inc.,SUI,0.0004000,"$114,486,493 ",Financials,,,
Cooper Cos. Inc.,COO,0.0004000,"$113,452,387 ",Financials,,,
Ulta Beauty Inc.,ULTA,0.0004000,"$108,260,479 ",Financials,,,
BioMarin Pharmaceutical Inc.,BMRN,0.0003000,"$94,665,998 ",Financials,,,
Bentley Systems Inc. Class B,BSY,0.0003000,"$92,594,539 ",Financials,,,
Blue Owl Capital Inc. Class A,OWL,0.0003000,"$84,227,276 ",Financials,,,
Incyte Corp.,INCY,0.0003000,"$80,988,621 ",Industrials,,,
Moderna Inc.,MRNA,0.0003000,"$71,305,617 ",Financials,,,
Warner Music Group Corp. Class A,WMG,0.0002000,"$69,191,829 ",Industrials,,,
Aptiv plc,APTV,0.0002000,"$66,822,823 ",Financials,,,
Lineage Inc.,LINE,0.0002000,"$65,475,844 ",Financials,,,
Enphase Energy Inc.,ENPH,0.0002000,"$56,833,752 ",Financials,,,
Venture Global Inc. Class A,VG,0.0001000,"$28,451,576 ",Financials,,,
Symbotic Inc. Class A,SYM,0.0001000,"$25,210,597 ",Financials,,,
