Name,Ticker,Weight,Industry,Shares Held
PALO ALTO NETWORKS INC,PANW,0.0024591,Unknown,8263717
MARSH + MCLENNAN COS,MMC,0.0024062,Unknown,6200578
EATON CORP PLC,ETN,0.0023889,Unknown,4989468
STARBUCKS CORP,SBUX,0.0023196,Consumer Discretionary,14310914
CHUBB LTD,CB,0.0022993,Unknown,4736560
MICRON TECHNOLOGY INC,MU,0.0022414,Unknown,13997491
US DOLLAR,-,0.0022101,Unknown,1309571872
PROLOGIS INC,PLD,0.0021778,Real Estate,11692625
INTEL CORP,INTC,0.0021777,Information Technology,54445452
ANALOG DEVICES INC,ADI,0.0021559,Unknown,6267954
ALTRIA GROUP INC,MO,0.0021141,Unknown,21394582
LOCKHEED MARTIN CORP,LMT,0.0021032,Industrials,2663182
BLACKSTONE INC,BX,0.0021003,Unknown,9115184
SOUTHERN CO/THE,SO,0.0020923,Utilities,13831817
INTERCONTINENTAL EXCHANGE IN,ICE,0.0020709,Unknown,7254715
AMERICAN TOWER CORP,AMT,0.0020698,Real Estate,5902629
LAM RESEARCH CORP,LRCX,0.0020632,Unknown,16243813
ELEVANCE HEALTH INC,ELV,0.0020630,Unknown,2929668
CME GROUP INC,CME,0.0019953,Unknown,4549930
DUKE ENERGY CORP,DUK,0.0019461,Utilities,9754969
KLA CORP,KLAC,0.0019425,Unknown,1688873
THE CIGNA GROUP,CI,0.0018485,Unknown,3510676
NIKE INC  CL B,NKE,0.0018444,Consumer Discretionary,15044879
MONDELEZ INTERNATIONAL INC A,MDLZ,0.0018428,Consumer Staples,16879347
WELLTOWER INC,WELL,0.0018405,Real Estate,7475312
AON PLC CLASS A,AON,0.0018180,Unknown,2732656
UNITED PARCEL SERVICE CL B,UPS,0.0017973,Unknown,9241940
ARISTA NETWORKS INC,ANET,0.0017639,Unknown,13041927
CVS HEALTH CORP,CVS,0.0017634,Unknown,15891706
GE VERNOVA INC,GEV,0.0017633,Unknown,3479971
MCKESSON CORP,MCK,0.0017409,Unknown,1602541
WASTE MANAGEMENT INC,WM,0.0017317,Unknown,4614312
ARTHUR J GALLAGHER + CO,AJG,0.0017181,Unknown,3153249
EQUINIX INC,EQIX,0.0017145,Unknown,1218186
3M CO,MMM,0.0016967,Industrials,6881128
SHERWIN WILLIAMS CO/THE,SHW,0.0016903,Materials,2927728
CROWDSTRIKE HOLDINGS INC   A,CRWD,0.0016488,Unknown,2938043
TRANE TECHNOLOGIES PLC,TT,0.0016262,Unknown,2843231
PARKER HANNIFIN CORP,PH,0.0016227,Unknown,1625073
TRANSDIGM GROUP INC,TDG,0.0015951,Unknown,710493
O REILLY AUTOMOTIVE INC,ORLY,0.0015878,Unknown,729599
AMPHENOL CORP CL A,APH,0.0015826,Unknown,15217884
COLGATE PALMOLIVE CO,CL,0.0015770,Unknown,10322961
KKR + CO INC,KKR,0.0015636,Unknown,8523823
ZOETIS INC,ZTS,0.0015400,Unknown,5700886
REGENERON PHARMACEUTICALS,REGN,0.0015281,Unknown,1330315
MOTOROLA SOLUTIONS INC,MSI,0.0014719,Unknown,2111549
MOODY S CORP,MCO,0.0014535,Unknown,1967238
EOG RESOURCES INC,EOG,0.0014525,Energy,7107649
WILLIAMS COS INC,WMB,0.0014470,Unknown,15398085
GENERAL DYNAMICS CORP,GD,0.0014359,Unknown,3257923
ILLINOIS TOOL WORKS,ITW,0.0014348,Unknown,3395721
NORTHROP GRUMMAN CORP,NOC,0.0014330,Consumer Staples,1730754
PAYPAL HOLDINGS INC,PYPL,0.0014306,Information Technology,12668418
PNC FINANCIAL SERVICES GROUP,PNC,0.0014286,Unknown,5013616
CHIPOTLE MEXICAN GRILL INC,CMG,0.0014160,Unknown,17218250
CADENCE DESIGN SYS INC,CDNS,0.0014128,Unknown,3465440
SYNOPSYS INC,SNPS,0.0014038,Unknown,1940812
CONSTELLATION ENERGY,CEG,0.0013993,Unknown,3950591
CINTAS CORP,CTAS,0.0013921,Unknown,4328208
AIR PRODUCTS + CHEMICALS INC,APD,0.0013882,Materials,2808719
BECTON DICKINSON AND CO,BDX,0.0013727,Unknown,3650820
US BANCORP,USB,0.0013599,Unknown,19690858
CAPITAL ONE FINANCIAL CORP,COF,0.0013504,Unknown,4816616
ECOLAB INC,ECL,0.0013495,Unknown,3184439
EMERSON ELECTRIC CO,EMR,0.0013279,Unknown,7205106
ROPER TECHNOLOGIES INC,ROP,0.0012872,Unknown,1354950
AUTOZONE INC,AZO,0.0012770,Unknown,213401
FORTINET INC,FTNT,0.0012674,Unknown,8038704
APOLLO GLOBAL MANAGEMENT INC,APO,0.0012416,Unknown,5648637
TRAVELERS COS INC/THE,TRV,0.0012391,Unknown,2868589
ONEOK INC,OKE,0.0012374,Unknown,7841704
BANK OF NEW YORK MELLON CORP,BK,0.0012352,Unknown,9187460
HCA HEALTHCARE INC,HCA,0.0012242,Unknown,2304377
SCHLUMBERGER LTD,SLB,0.0012026,Energy,17844945
CSX CORP,CSX,0.0011980,Unknown,24368294
AMERICAN ELECTRIC POWER,AEP,0.0011839,Utilities,6729579
MARRIOTT INTERNATIONAL  CL A,MAR,0.0011674,Unknown,2914986
FEDEX CORP,FDX,0.0011551,Industrials,2840264
HILTON WORLDWIDE HOLDINGS IN,HLT,0.0011529,Unknown,3080232
FREEPORT MCMORAN INC,FCX,0.0011510,Materials,18147369
CARRIER GLOBAL CORP,CARR,0.0011433,Unknown,10543780
ALLSTATE CORP,ALL,0.0011408,Unknown,3346404
AUTODESK INC,ADSK,0.0011321,Unknown,2716499
AFLAC INC,AFL,0.0011207,Unknown,6317981
TRUIST FINANCIAL CORP,TFC,0.0011177,Unknown,16774850
NEWMONT CORP,NEM,0.0011083,Materials,14386123
GENERAL MOTORS CO,GM,0.0011047,Unknown,13894781
JOHNSON CONTROLS INTERNATION,JCI,0.0011035,Health Care,8441543
AIRBNB INC CLASS A,ABNB,0.0011020,Unknown,5469763
PACCAR INC,PCAR,0.0010996,Unknown,6620023
NORFOLK SOUTHERN CORP,NSC,0.0010986,Utilities,2858835
ROYAL CARIBBEAN CRUISES LTD,RCL,0.0010966,Unknown,3125404
KINDER MORGAN INC,KMI,0.0010940,Unknown,24423907
NXP SEMICONDUCTORS NV,NXPI,0.0010894,Unknown,3211254
AMERICAN INTERNATIONAL GROUP,AIG,0.0010849,Unknown,7882464
PHILLIPS 66,PSX,0.0010790,Energy,5218902
WORKDAY INC CLASS A,WDAY,0.0010775,Unknown,2691375
HOWMET AEROSPACE INC,HWM,0.0010637,Unknown,5133850
SIMON PROPERTY GROUP INC,SPG,0.0010416,Real Estate,3869943
REALTY INCOME CORP,O,0.0010410,Real Estate,11042551
TARGET CORP,TGT,0.0010267,Unknown,5821418
KIMBERLY CLARK CORP,KMB,0.0009967,Unknown,4213996
REPUBLIC SERVICES INC,RSG,0.0009954,Unknown,2572447
PUBLIC STORAGE,PSA,0.0009845,Real Estate,1991740
PAYCHEX INC,PAYX,0.0009806,Unknown,4047227
COPART INC,CPRT,0.0009778,Unknown,11077828
AMERIPRISE FINANCIAL INC,AMP,0.0009772,Unknown,1225917
DOMINION ENERGY INC,D,0.0009690,Utilities,10614873
METLIFE INC,MET,0.0009638,Unknown,7349746
DIGITAL REALTY TRUST INC,DLR,0.0009623,Unknown,3939840
CENCORA INC,COR,0.0009559,Unknown,2212441
KENVUE INC,KVUE,0.0009478,Unknown,24227534
MARATHON PETROLEUM CORP,MPC,0.0009391,Energy,4061223
KROGER CO,KR,0.0009383,Unknown,8411340
EXELON CORP,EXC,0.0009323,Utilities,12707777
CUMMINS INC,CMI,0.0009157,Unknown,1733850
SEMPRA,SRE,0.0009156,Utilities,7996081
YUM  BRANDS INC,YUM,0.0009131,Unknown,3526429
MSCI INC,MSCI,0.0009049,Unknown,990266
FAIR ISAAC CORP,FICO,0.0009046,Unknown,307431
WW GRAINGER INC,GWW,0.0009012,Unknown,559980
TE CONNECTIVITY PLC,TEL,0.0009010,Unknown,3780489
FASTENAL CO,FAST,0.0009003,Unknown,7239386
BAKER HUGHES CO,BKR,0.0008809,Unknown,12504260
ROSS STORES INC,ROST,0.0008724,Unknown,4192255
VERISK ANALYTICS INC,VRSK,0.0008705,Unknown,1784350
CROWN CASTLE INC,CCI,0.0008668,Real Estate,5491592
CORTEVA INC,CTVA,0.0008588,Unknown,8684809
VISTRA CORP,VST,0.0008562,Unknown,4299257
EDWARDS LIFESCIENCES CORP,EW,0.0008547,Unknown,7453208
L3HARRIS TECHNOLOGIES INC,LHX,0.0008541,Unknown,2396543
DISCOVER FINANCIAL SERVICES,DFS,0.0008527,Unknown,3172972
AMETEK INC,AME,0.0008514,Unknown,2922916
TARGA RESOURCES CORP,TRGP,0.0008503,Unknown,2755309
VALERO ENERGY CORP,VLO,0.0008493,Energy,4000402
OTIS WORLDWIDE CORP,OTIS,0.0008486,Unknown,5047844
HESS CORP,HES,0.0008483,Unknown,3492351
PUBLIC SERVICE ENTERPRISE GP,PEG,0.0008473,Unknown,6295857
KEURIG DR PEPPER INC,KDP,0.0008445,Unknown,15113361
XCEL ENERGY INC,XEL,0.0008340,Unknown,7256694
UNITED RENTALS INC,URI,0.0008320,Unknown,829648
COGNIZANT TECH SOLUTIONS A,CTSH,0.0008283,Unknown,6265235
AXON ENTERPRISE INC,AXON,0.0008262,Unknown,915789
MONSTER BEVERAGE CORP,MNST,0.0008115,Unknown,8848513
FIDELITY NATIONAL INFO SERV,FIS,0.0008008,Unknown,6802643
PRUDENTIAL FINANCIAL INC,PRU,0.0007974,Unknown,4498302
GE HEALTHCARE TECHNOLOGY,GEHC,0.0007937,Unknown,5773633
FORD MOTOR CO,F,0.0007933,Unknown,49325229
QUANTA SERVICES INC,PWR,0.0007867,Unknown,1862473
CBRE GROUP INC   A,CBRE,0.0007813,Unknown,3801086
DR HORTON INC,DHI,0.0007793,Unknown,3685413
CONSOLIDATED EDISON INC,ED,0.0007732,Unknown,4380905
P G + E CORP,PCG,0.0007646,Consumer Staples,27625809
SYSCO CORP,SYY,0.0007612,Unknown,6207465
ENTERGY CORP,ETR,0.0007573,Unknown,5416528
CORNING INC,GLW,0.0007494,Unknown,9737425
LULULEMON ATHLETICA INC,LULU,0.0007458,Unknown,1426949
GARTNER INC,IT,0.0007424,Unknown,973129
ARCH CAPITAL GROUP LTD,ACGL,0.0007225,Unknown,4734829
HARTFORD INSURANCE GROUP INC,HIG,0.0007203,Unknown,3663304
AGILENT TECHNOLOGIES INC,A,0.0007190,Unknown,3630846
CHARTER COMMUNICATIONS INC A,CHTR,0.0007124,Unknown,1222037
TAKE TWO INTERACTIVE SOFTWRE,TTWO,0.0007096,Unknown,2064764
IDEXX LABORATORIES INC,IDXX,0.0007094,Unknown,1034601
VICI PROPERTIES INC,VICI,0.0007093,Unknown,13321165
WEC ENERGY GROUP INC,WEC,0.0007091,Unknown,3997549
GENERAL MILLS INC,GIS,0.0007086,Unknown,7015377
ELECTRONIC ARTS INC,EA,0.0007009,Unknown,3015579
RESMED INC,RMD,0.0006878,Unknown,1854722
INGERSOLL RAND INC,IR,0.0006876,Unknown,5092699
WILLIS TOWERS WATSON PLC,WTW,0.0006854,Unknown,1272641
GARMIN LTD,GRMN,0.0006834,Unknown,1940958
COSTAR GROUP INC,CSGP,0.0006777,Unknown,5322622
IQVIA HOLDINGS INC,IQV,0.0006671,Unknown,2178539
DUPONT DE NEMOURS INC,DD,0.0006666,Materials,5272472
OCCIDENTAL PETROLEUM CORP,OXY,0.0006543,Energy,8529575
EBAY INC,EBAY,0.0006534,Unknown,6053174
OLD DOMINION FREIGHT LINE,ODFL,0.0006531,Utilities,2374288
CARDINAL HEALTH INC,CAH,0.0006517,Unknown,3057917
NUCOR CORP,NUE,0.0006488,Materials,2967129
HUMANA INC,HUM,0.0006465,Unknown,1521754
WABTEC CORP,WAB,0.0006461,Unknown,2172005
EXTRA SPACE STORAGE INC,EXR,0.0006460,Unknown,2679098
NASDAQ INC,NDAQ,0.0006348,Unknown,5228960
VULCAN MATERIALS CO,VMC,0.0006339,Unknown,1669119
AVALONBAY COMMUNITIES INC,AVB,0.0006295,Unknown,1794539
XYLEM INC,XYL,0.0006269,Unknown,3070088
EQUIFAX INC,EFX,0.0006262,Unknown,1567435
CENTENE CORP,CNC,0.0006241,Unknown,6379809
EQT CORP,EQT,0.0006205,Unknown,7525169
ROCKWELL AUTOMATION INC,ROK,0.0006145,Unknown,1426263
MARTIN MARIETTA MATERIALS,MLM,0.0006062,Unknown,772382
DELL TECHNOLOGIES  C,DELL,0.0006057,Unknown,3881810
CONSTELLATION BRANDS INC A,STZ,0.0006046,Unknown,1972953
M + T BANK CORP,MTB,0.0006033,Unknown,2097054
DELTA AIR LINES INC,DAL,0.0006005,Unknown,8101490
BROWN + BROWN INC,BRO,0.0005967,Unknown,2999841
MONOLITHIC POWER SYSTEMS INC,MPWR,0.0005946,Unknown,616742
MICROCHIP TECHNOLOGY INC,MCHP,0.0005943,Unknown,6786179
VENTAS INC,VTR,0.0005937,Unknown,5301431
AMERICAN WATER WORKS CO INC,AWK,0.0005925,Unknown,2463161
LENNAR CORP A,LEN,0.0005924,Unknown,3017341
ANSYS INC,ANSS,0.0005921,Unknown,1104703
TRACTOR SUPPLY COMPANY,TSCO,0.0005885,Unknown,6750226
DTE ENERGY COMPANY,DTE,0.0005862,Unknown,2617268
DIAMONDBACK ENERGY INC,FANG,0.0005811,Unknown,2361524
HP INC,HPQ,0.0005736,Unknown,12177627
CHURCH + DWIGHT CO INC,CHD,0.0005723,Unknown,3089504
DEXCOM INC,DXCM,0.0005705,Unknown,4936032
KRAFT HEINZ CO/THE,KHC,0.0005683,Unknown,11154210
INTERNATIONAL PAPER CO,IP,0.0005640,Unknown,6633073
BROADRIDGE FINANCIAL SOLUTIO,BR,0.0005629,Unknown,1478672
AMEREN CORPORATION,AEE,0.0005577,Unknown,3373115
PPG INDUSTRIES INC,PPG,0.0005509,Unknown,2931268
KEYSIGHT TECHNOLOGIES IN,KEYS,0.0005483,Unknown,2192908
RAYMOND JAMES FINANCIAL INC,RJF,0.0005456,Unknown,2312458
HERSHEY CO/THE,HSY,0.0005418,Unknown,1867055
DOW INC,DOW,0.0005409,Materials,8846742
METTLER TOLEDO INTERNATIONAL,MTD,0.0005403,Unknown,266349
PPL CORP,PPL,0.0005375,Unknown,9325454
FIFTH THIRD BANCORP,FITB,0.0005360,Unknown,8473099
IRON MOUNTAIN INC,IRM,0.0005326,Unknown,3708011
FORTIVE CORP,FTV,0.0005314,Unknown,4384183
STATE STREET CORP,STT,0.0005281,Unknown,3704096
DOVER CORP,DOV,0.0005182,Unknown,1733941
GODADDY INC   CLASS A,GDDY,0.0005164,Unknown,1774437
VERALTO CORP,VLTO,0.0005048,Unknown,3124681
TYLER TECHNOLOGIES INC,TYL,0.0005046,Unknown,540289
TEXAS PACIFIC LAND CORP,TPL,0.0005040,Unknown,237965
GLOBAL PAYMENTS INC,GPN,0.0004990,Unknown,3216256
EQUITY RESIDENTIAL,EQR,0.0004961,Unknown,4304875
SBA COMMUNICATIONS CORP,SBAC,0.0004907,Unknown,1355134
UNITED AIRLINES HOLDINGS INC,UAL,0.0004902,Unknown,4155472
CORPAY INC,CPAY,0.0004876,Unknown,879666
ATMOS ENERGY CORP,ATO,0.0004867,Unknown,1961367
ARCHER DANIELS MIDLAND CO,ADM,0.0004818,Unknown,6041947
CENTERPOINT ENERGY INC,CNP,0.0004810,Unknown,8235223
CBOE GLOBAL MARKETS INC,CBOE,0.0004792,Unknown,1319965
TELEDYNE TECHNOLOGIES INC,TDY,0.0004777,Unknown,588478
CINCINNATI FINANCIAL CORP,CINF,0.0004722,Unknown,1970409
KELLANOVA,K,0.0004720,Unknown,3398051
WARNER BROS DISCOVERY INC,WBD,0.0004708,Unknown,28209115
