ARKK,IWF,QQQ,UPRO,combined etf close price
20.3799991607666,93.95999908447266,101.4000015258789,10.369999885559082,56.52749991416931
20.3799991607666,94.12000274658203,101.69999694824219,10.386667251586914,56.646666526794434
20.260000228881836,93.70999908447266,101.36000061035156,10.286666870117188,56.40416669845581
20.0,93.94000244140625,101.37000274658203,10.473333358764648,56.44583463668823
20.139999389648438,94.5,101.69000244140625,10.604999542236328,56.733750343322754
20.1200008392334,94.5199966430664,101.5999984741211,10.633333206176758,56.718332290649414
20.299999237060547,94.81999969482422,101.95999908447266,10.72249984741211,56.95062446594238
20.290000915527344,94.91999816894531,102.27999877929688,10.754166603088379,57.06104111671448
20.360000610351562,95.05999755859375,102.45999908447266,10.723333358764648,57.150832653045654
20.34000015258789,95.19000244140625,102.9000015258789,10.755000114440918,57.29625105857849
20.440000534057617,95.23999786376953,103.22000122070312,10.766667366027832,57.416666746139526
20.40999984741211,95.08999633789062,102.91000366210938,10.787500381469727,57.29937505722046
20.600000381469727,95.69000244140625,103.68000030517578,10.971667289733887,57.73541760444641
20.290000915527344,95.52999877929688,103.20999908447266,10.915833473205566,57.48645806312561
20.280000686645508,95.73999786376953,103.66999816894531,10.97249984741211,57.665624141693115
20.360000610351562,96.2300033569336,103.87000274658203,11.157500267028809,57.904376745224
20.489999771118164,96.7300033569336,104.68000030517578,11.24416732788086,58.2860426902771
20.520000457763672,96.70999908447266,104.83999633789062,11.234167098999023,58.326040744781494
20.559999465942383,96.98999786376953,105.5199966430664,11.30916690826416,58.59479022026062
20.59000015258789,97.05000305175781,106.01000213623047,11.234999656677246,58.721251249313354
20.270000457763672,95.97000122070312,104.80999755859375,11.00583267211914,58.01395797729492
20.049999237060547,96.37000274658203,105.2300033569336,11.201666831970215,58.2129180431366
20.09000015258789,96.7699966430664,105.41999816894531,11.345000267028809,58.406248807907104
20.059999465942383,96.75,105.37000274658203,11.300832748413086,58.370208740234375
20.110000610351562,96.81999969482422,105.37999725341797,11.35083293914795,58.415207624435425
19.729999542236328,96.05000305175781,104.62999725341797,11.130000114440918,57.88499999046326
19.780000686645508,96.05000305175781,104.95999908447266,11.096667289733887,57.971667528152466
19.729999542236328,94.5,103.30999755859375,10.571666717529297,57.027915954589844
19.770000457763672,94.94000244140625,103.80000305175781,10.717499732971191,57.30687642097473
19.607999801635742,93.62000274658203,102.66999816894531,10.208333015441895,56.526583433151245
19.280000686645508,93.06999969482422,101.61000061035156,9.979999542236328,55.985000133514404
18.950000762939453,92.06999969482422,99.9800033569336,9.757499694824219,55.18937587738037
19.15999984741211,93.87999725341797,101.80000305175781,10.348333358764648,56.297083377838135
19.8799991607666,96.11000061035156,104.25,11.085832595825195,57.83145809173584
20.15999984741211,96.48999786376953,104.31999969482422,11.229166984558105,58.04979109764099
20.329999923706055,96.91000366210938,104.58000183105469,11.366666793823242,58.29666805267334
20.336999893188477,96.94000244140625,104.20999908447266,11.429166793823242,58.229042053222656
20.3700008392334,96.61000061035156,104.30000305175781,11.428333282470703,58.17708444595337
20.600000381469727,97.0,105.04000091552734,11.529999732971191,58.542500257492065
20.427000045776367,97.0999984741211,105.0199966430664,11.571666717529297,58.52966547012329
20.299999237060547,96.4800033569336,104.31999969482422,11.394166946411133,58.12354230880737
20.15999984741211,95.61000061035156,103.25,11.050832748413086,57.51770830154419
20.170000076293945,95.5199966430664,102.94000244140625,11.020833015441895,57.412708044052124
19.68400001525879,93.9000015258789,101.43000030517578,10.427499771118164,56.36037540435791
19.610000610351562,93.02999877929688,100.06999969482422,10.145000457763672,55.71374988555908
19.700000762939453,94.19999694824219,101.36000061035156,10.519166946411133,56.444791316986084
20.139999389648438,95.91999816894531,103.30000305175781,11.074167251586914,57.60854196548462
19.969999313354492,95.19000244140625,102.62000274658203,10.802499771118164,57.145626068115234
20.149999618530273,94.44000244140625,101.55000305175781,10.541666984558105,56.67041802406311
19.989999771118164,94.33000183105469,101.5199966430664,10.454999923706055,56.57374954223633
19.93000030517578,93.91000366210938,100.95999908447266,10.271666526794434,56.26791739463806
19.479999542236328,92.94000244140625,99.6500015258789,9.990833282470703,55.51520919799805
19.610000610351562,94.16000366210938,100.81999969482422,10.363332748413086,56.23833417892456
19.889999389648438,94.52999877929688,101.62000274658203,10.445833206176758,56.621458530426025
20.25,94.9800033569336,102.13999938964844,10.599166870117188,56.992292404174805
20.527999877929688,96.43000030517578,104.02999877929688,11.077500343322754,58.016374826431274
20.6299991607666,96.1500015258789,104.26000213623047,10.884166717529297,57.98104238510132
20.75,96.51000213623047,104.13999938964844,10.975000381469727,58.09375047683716
20.440000534057617,95.12000274658203,101.44000244140625,10.537500381469727,56.884376525878906
20.350000381469727,94.30000305175781,100.91999816894531,10.108332633972168,56.419583559036255
20.389999389648438,95.29000091552734,101.88999938964844,10.408332824707031,56.99458312988281
20.239999771118164,94.20999908447266,101.0999984741211,10.004166603088379,56.38854098320007
20.367000579833984,95.16000366210938,101.9800033569336,10.369999885559082,56.96925187110901
20.229999542236328,96.37000274658203,102.95999908447266,10.823332786560059,57.59583353996277
20.459999084472656,96.11000061035156,102.87000274658203,10.700833320617676,57.53520894050598
20.84000015258789,97.13999938964844,103.76000213623047,11.034167289733887,58.19354224205017
20.79199981689453,96.75,103.12999725341797,10.936667442321777,57.90216612815857
20.67799949645996,96.31999969482422,102.80000305175781,10.787500381469727,57.64637565612793
20.850000381469727,97.51000213623047,104.4000015258789,11.135000228881836,58.473751068115234
21.025999069213867,97.76000213623047,104.77999877929688,11.153332710266113,58.67983317375183
